code,name,description,language,category,category-name,category-description
1.1.1,Executive - executive,,en,1.1,Executive,
1.2.1,Legislative - legislative,,en,1.2,Legislative,
1.3.1,Accountability - macroeconomic policy,,en,1.3,Accountability,
1.3.2,Accountability - budgeting,,en,1.3,Accountability,
1.3.3,Accountability - planning,,en,1.3,Accountability,
1.3.4,Accountability - Treasury/Accounts,,en,1.3,Accountability,
1.3.5,Accountability - debt and aid management,,en,1.3,Accountability,
1.3.6,Accountability - tax policy,,en,1.3,Accountability,
1.3.7,Accountability - tax collection,,en,1.3,Accountability,
1.3.8,Accountability - local government finance,,en,1.3,Accountability,
1.3.9,Accountability - other central transfers to institutions ,,en,1.3,Accountability,
1.3.10,Accountability - national audit,,en,1.3,Accountability,
1.3.11,Accountability - national monitoring and evaluation,,en,1.3,Accountability,
1.3.12,Accountability - monetary institutions,,en,1.3,Accountability,
1.3.13,Accountability - financial sector policy and regulation,,en,1.3,Accountability,
1.4.1,External Affairs - foreign affairs ,,en,1.4,External Affairs,
1.4.2,External Affairs - diplomatic missions,,en,1.4,External Affairs,
1.4.3,External Affairs - official development assistance,,en,1.4,External Affairs,
1.5.1,General Personnel Services - general personnel services,,en,1.5,General Personnel Services,
1.6.1,Statistics - statistics,,en,1.6,Statistics,
1.7.1,Other General Services - support to civil society ,,en,1.7,Other General Services,
1.7.2,Other General Services - central procurement,,en,1.7,Other General Services,
1.7.3,Other General Services - Local Government Administration,,en,1.7,Other General Services,
1.7.4,Other General Services - other general services,,en,1.7,Other General Services,
1.8.1,Elections - elections,,en,1.8,Elections,
2.1.1,"Justice, Law and Order - policy, planning and administration",,en,2.1,"Justice, Law and Order",
2.1.2,"Justice, Law and Order - fire or police",,en,2.1,"Justice, Law and Order",
2.1.3,"Justice, Law and Order - judicial affairs",,en,2.1,"Justice, Law and Order",
2.1.4,"Justice, Law and Order - Ombudsman",,en,2.1,"Justice, Law and Order",
2.1.5,"Justice, Law and Order - human rights affairs",,en,2.1,"Justice, Law and Order",
2.1.6,"Justice, Law and Order - immigration",,en,2.1,"Justice, Law and Order",
2.1.7,"Justice, Law and Order - anti corruption",,en,2.1,"Justice, Law and Order",
2.1.8,"Justice, Law and Order - prisons",,en,2.1,"Justice, Law and Order",
2.1.9,"Justice, Law and Order - peace building",,en,2.1,"Justice, Law and Order",
2.1.10,"Justice, Law and Order - demobilisation",,en,2.1,"Justice, Law and Order",
2.2.1,"Defence - policy, planning and administration",,en,2.2,Defence,
2.2.2,Defence - military,,en,2.2,Defence,
2.2.3,Defence - civil defence,,en,2.2,Defence,
2.2.4,Defence - foreign military aid,,en,2.2,Defence,
3.1.1,"General Economic, Commercial and Labour Affairs - policy, planning and administration",,en,3.1,"General Economic, Commercial and Labour Affairs",
3.1.2,"General Economic, Commercial and Labour Affairs - general economic affairs",,en,3.1,"General Economic, Commercial and Labour Affairs",
3.1.3,"General Economic, Commercial and Labour Affairs - investment promotion",,en,3.1,"General Economic, Commercial and Labour Affairs",
3.1.4,"General Economic, Commercial and Labour Affairs - privatisation",,en,3.1,"General Economic, Commercial and Labour Affairs",
3.1.5,"General Economic, Commercial and Labour Affairs - trade",,en,3.1,"General Economic, Commercial and Labour Affairs",
3.1.6,"General Economic, Commercial and Labour Affairs - labour",,en,3.1,"General Economic, Commercial and Labour Affairs",
3.1.7,"General Economic, Commercial and Labour Affairs - national standards development",,en,3.1,"General Economic, Commercial and Labour Affairs",
3.2.1,"Public Works - policy, planning and administration",,en,3.2,Public Works,
3.2.2,Public Works - construction regulation,,en,3.2,Public Works,
3.2.3,Public Works - mechanical services,,en,3.2,Public Works,
3.3.1,"Agriculture - policy, planning and administration",,en,3.3,Agriculture,
3.3.2,Agriculture - irrigation,,en,3.3,Agriculture,
3.3.3,Agriculture - inputs,,en,3.3,Agriculture,
3.3.4,Agriculture - food crop,,en,3.3,Agriculture,
3.3.5,Agriculture - industrial crop,,en,3.3,Agriculture,
3.3.6,Agriculture - livestock,,en,3.3,Agriculture,
3.3.7,Agriculture - agricultural training and extension,,en,3.3,Agriculture,
3.3.8,Agriculture - research,,en,3.3,Agriculture,
3.3.9,Agriculture - other services,,en,3.3,Agriculture,
3.4.1,"Forestry - policy, planning and administration",,en,3.4,Forestry,
3.4.2,Forestry - development and services,,en,3.4,Forestry,
3.4.3,Forestry - education/training,,en,3.4,Forestry,
3.4.4,Forestry - research,,en,3.4,Forestry,
3.5.1,"Fishing and Hunting - policy, planning and administration",,en,3.5,Fishing and Hunting,
3.5.2,Fishing and Hunting - development and services,,en,3.5,Fishing and Hunting,
3.5.3,Fishing and Hunting - education and training,,en,3.5,Fishing and Hunting,
3.5.4,Fishing and Hunting - research,,en,3.5,Fishing and Hunting,
3.6.1,"Energy - policy, planning and administration",,en,3.6,Energy,
3.6.2,Energy - education and training,,en,3.6,Energy,
3.6.3,Energy - energy regulation,,en,3.6,Energy,
3.6.4,Energy - electricity transmission,,en,3.6,Energy,
3.6.5,Energy - nuclear,,en,3.6,Energy,
3.6.6,Energy - power generation,,en,3.6,Energy,
3.6.7,Energy - gas ,,en,3.6,Energy,
3.7.1,"Mining and Mineral Development - policy, planning and administration",,en,3.7,Mining and Mineral Development,
3.7.2,Mining and Mineral Development - prospection and exploration,,en,3.7,Mining and Mineral Development,
3.7.3,Mining and Mineral Development - coal and other solid mineral fuels,,en,3.7,Mining and Mineral Development,
3.7.4,Mining and Mineral Development - petroleum and gas,,en,3.7,Mining and Mineral Development,
3.7.6,Mining and Mineral Development - other fuel,,en,3.7,Mining and Mineral Development,
3.7.7,Mining and Mineral Development - non fuel minerals,,en,3.7,Mining and Mineral Development,
3.8.1,"Transport - policy, planning and administration",,en,3.8,Transport,
3.8.2,Transport - transport regulation,,en,3.8,Transport,
3.8.3,Transport - feeder road construction,,en,3.8,Transport,
3.8.4,Transport - feeder road maintenance,,en,3.8,Transport,
3.8.5,Transport - national road construction,,en,3.8,Transport,
3.8.6,Transport - national road maintenance,,en,3.8,Transport,
3.8.7,Transport - rail,,en,3.8,Transport,
3.8.8,Transport - water,,en,3.8,Transport,
3.8.9,Transport - air,,en,3.8,Transport,
3.8.10,Transport - pipeline,,en,3.8,Transport,
3.8.11,Transport - storage and distribution,,en,3.8,Transport,
3.8.12,Transport - public transport services,,en,3.8,Transport,
3.8.13,Transport - meteorological services,,en,3.8,Transport,
3.8.14,Transport - education and training,,en,3.8,Transport,
3.9.1,"Industry - policy, planning and administration",,en,3.9,Industry,
3.9.2,Industry - development and services,,en,3.9,Industry,
3.9.3,Industry - industrial research,,en,3.9,Industry,
3.9.4,Industry - (investment in industry),,en,3.9,Industry,
3.10.1,"Communications - policy, planning and administration",,en,3.10,Communications,
3.10.2,Communications - ICT Infrastructure,,en,3.10,Communications,
3.10.3,Communications - telecoms and postal services,,en,3.10,Communications,
3.10.4,Communications - information services,,en,3.10,Communications,
3.11.1,"Tourism - policy, planning and administration",,en,3.11,Tourism,
3.11.2,Tourism - services,,en,3.11,Tourism,
3.12.1,Microfinance and financial services - Microfinance and financial services,,en,3.12,Microfinance and financial services,
4.1.1,"Water supply and Sanitation - policy, planning and administration",,en,4.1,Water supply and Sanitation,
4.1.2,Water supply and Sanitation - education/training,,en,4.1,Water supply and Sanitation,
4.1.3,Water supply and Sanitation - rural water supply and sanitation,,en,4.1,Water supply and Sanitation,
4.1.4,Water supply and Sanitation - urban water supply and sanitation,,en,4.1,Water supply and Sanitation,
4.1.5,Water supply and Sanitation - rural water supply,,en,4.1,Water supply and Sanitation,
4.1.6,Water supply and Sanitation - urban water supply,,en,4.1,Water supply and Sanitation,
4.1.7,Water supply and Sanitation - rural sanitation,,en,4.1,Water supply and Sanitation,
4.1.8,Water supply and Sanitation - urban sanitation,,en,4.1,Water supply and Sanitation,
4.1.9,Water supply and Sanitation - sewage and waste management,,en,4.1,Water supply and Sanitation,
4.2.1,"Environment - policy, planning and administration",,en,4.2,Environment,
4.2.2,Environment - research/ education and training,,en,4.2,Environment,
4.2.3,Environment - natural resource management,,en,4.2,Environment,
4.2.4,Environment - water resources management,,en,4.2,Environment,
4.2.5,"Environment - wildlife protection, parks and site preservation",,en,4.2,Environment,
5.1.1,"Health - policy, planning and administration",,en,5.1,Health,
5.2.1,"Recreation, Culture and Religion - recreation and sport",,en,5.2,"Recreation, Culture and Religion",
5.2.2,"Recreation, Culture and Religion - culture",,en,5.2,"Recreation, Culture and Religion",
5.2.3,"Recreation, Culture and Religion - broadcasting and publishing",,en,5.2,"Recreation, Culture and Religion",
5.2.4,"Recreation, Culture and Religion - religion",,en,5.2,"Recreation, Culture and Religion",
5.3.1,"Education - administration, policy and planning",,en,5.3,Education,
5.3.2,Education - research,,en,5.3,Education,
5.3.3,Education - pre-primary,,en,5.3,Education,
5.3.4,Education - primary,,en,5.3,Education,
5.3.5,Education - lower secondary,,en,5.3,Education,
5.3.6,Education - upper secondary,,en,5.3,Education,
5.3.7,Education - post secondary non tertiary ,,en,5.3,Education,
5.3.8,Education - tertiary,,en,5.3,Education,
5.3.9,Education - vocational training,,en,5.3,Education,
5.3.10,Education - advanced technical and managerial training,,en,5.3,Education,
5.3.11,Education - basic adult education,,en,5.3,Education,
5.3.12,Education - teacher training,,en,5.3,Education,
5.3.13,Education - subsidiary services,,en,5.3,Education,
5.4.1,"Social Protection, Land Housing and Community Amenities - policy, planning and administration",,en,5.4,"Social Protection, Land Housing and Community Amenities",
5.4.2,"Social Protection, Land Housing and Community Amenities - social security (excl pensions)",,en,5.4,"Social Protection, Land Housing and Community Amenities",
5.4.3,"Social Protection, Land Housing and Community Amenities - general pensions",,en,5.4,"Social Protection, Land Housing and Community Amenities",
5.4.4,"Social Protection, Land Housing and Community Amenities - civil service and military pensions",,en,5.4,"Social Protection, Land Housing and Community Amenities",
5.4.5,"Social Protection, Land Housing and Community Amenities - social services (incl youth development and women+ children)",,en,5.4,"Social Protection, Land Housing and Community Amenities",
5.4.6,"Social Protection, Land Housing and Community Amenities - land policy and management",,en,5.4,"Social Protection, Land Housing and Community Amenities",
5.4.7,"Social Protection, Land Housing and Community Amenities - rural devt",,en,5.4,"Social Protection, Land Housing and Community Amenities",
5.4.8,"Social Protection, Land Housing and Community Amenities - urban devt",,en,5.4,"Social Protection, Land Housing and Community Amenities",
5.4.9,"Social Protection, Land Housing and Community Amenities - housing and community amenities",,en,5.4,"Social Protection, Land Housing and Community Amenities",
5.4.10,"Social Protection, Land Housing and Community Amenities - emergency relief",,en,5.4,"Social Protection, Land Housing and Community Amenities",
5.4.11,"Social Protection, Land Housing and Community Amenities - disaster prevention and preparedness",,en,5.4,"Social Protection, Land Housing and Community Amenities",
5.4.12,"Social Protection, Land Housing and Community Amenities - support to refugees and internally displaced persons",,en,5.4,"Social Protection, Land Housing and Community Amenities",
