code,name,description,language,category,category-name,category-description
1.1,Executive,,en,1,General Public Service,
1.2,Legislative,,en,1,General Public Service,
1.3,Accountability,,en,1,General Public Service,
1.4,External Affairs,,en,1,General Public Service,
1.5,General Personnel Services,,en,1,General Public Service,
1.6,Statistics,,en,1,General Public Service,
1.7,Other General Services,,en,1,General Public Service,
1.8,Elections,,en,1,General Public Service,
2.1,"Justice, Law and Order",,en,2,"Justice, Law, Order and Security",
2.2,Defence,,en,2,"Justice, Law, Order and Security",
3.1,"General Economic, Commercial and Labour Affairs",,en,3,Economic Affairs,
3.2,Public Works,,en,3,Economic Affairs,
3.3,Agriculture,,en,3,Economic Affairs,
3.4,Forestry,,en,3,Economic Affairs,
3.5,Fishing and Hunting,,en,3,Economic Affairs,
3.6,Energy,,en,3,Economic Affairs,
3.7,Mining and Mineral Development,,en,3,Economic Affairs,
3.8,Transport,,en,3,Economic Affairs,
3.9,Industry,,en,3,Economic Affairs,
3.10,Communications,,en,3,Economic Affairs,
3.11,Tourism,,en,3,Economic Affairs,
3.12,Microfinance and financial services,,en,3,Economic Affairs,
4.1,Water supply and Sanitation,,en,4,"Water, Natural Resource Management and Environment",
4.2,Environment,,en,4,"Water, Natural Resource Management and Environment",
5.1,Health,,en,5,Social Affairs,
5.2,"Recreation, Culture and Religion",,en,5,Social Affairs,
5.3,Education,,en,5,Social Affairs,
5.4,"Social Protection, Land Housing and Community Amenities",,en,5,Social Affairs,
6.1,Development Partner affairs,,en,6,Development Partner Affairs,
7.1,External to government sector,,en,7,General Budget Support and Aid support external to General Government Sector,
7.2,General Budget Support,,en,7,General Budget Support and Aid support external to General Government Sector,
