code,name,description,language,category,category-name,category-description
application/1d-interleaved-parityfec,,,en,application,,
application/3gpdash-qoe-report+xml,,,en,application,,
application/3gpp-ims+xml,,,en,application,,
application/A2L,,,en,application,,
application/activemessage,,,en,application,,
application/activemessage,,,en,application,,
application/alto-costmap+json,,,en,application,,
application/alto-costmapfilter+json,,,en,application,,
application/alto-directory+json,,,en,application,,
application/alto-endpointprop+json,,,en,application,,
application/alto-endpointpropparams+json,,,en,application,,
application/alto-endpointcost+json,,,en,application,,
application/alto-endpointcostparams+json,,,en,application,,
application/alto-error+json,,,en,application,,
application/alto-networkmapfilter+json,,,en,application,,
application/alto-networkmap+json,,,en,application,,
application/AML,,,en,application,,
application/andrew-inset,,,en,application,,
application/applefile,,,en,application,,
application/ATF,,,en,application,,
application/ATFX,,,en,application,,
application/atom+xml,,,en,application,,
application/atomcat+xml,,,en,application,,
application/atomdeleted+xml,,,en,application,,
application/atomicmail,,,en,application,,
application/atomsvc+xml,,,en,application,,
application/ATXML,,,en,application,,
application/auth-policy+xml,,,en,application,,
application/bacnet-xdd+zip,,,en,application,,
application/batch-SMTP,,,en,application,,
application/beep+xml,,,en,application,,
application/calendar+json,,,en,application,,
application/calendar+xml,,,en,application,,
application/call-completion,,,en,application,,
application/CALS-1840,,,en,application,,
application/cbor,,,en,application,,
application/ccmp+xml,,,en,application,,
application/ccxml+xml,,,en,application,,
application/CDFX+XML,,,en,application,,
application/cdmi-capability,,,en,application,,
application/cdmi-container,,,en,application,,
application/cdmi-domain,,,en,application,,
application/cdmi-object,,,en,application,,
application/cdmi-queue,,,en,application,,
application/cdni,,,en,application,,
application/CEA,,,en,application,,
application/cea-2018+xml,,,en,application,,
application/cellml+xml,,,en,application,,
application/cfw,,,en,application,,
application/clue_info+xml,,,en,application,,
application/cms,,,en,application,,
application/cnrp+xml,,,en,application,,
application/coap-group+json,,,en,application,,
application/coap-payload,,,en,application,,
application/commonground,,,en,application,,
application/conference-info+xml,,,en,application,,
application/cpl+xml,,,en,application,,
application/cose,,,en,application,,
application/cose-key,,,en,application,,
application/cose-key-set,,,en,application,,
application/csrattrs,,,en,application,,
application/csta+xml,,,en,application,,
application/CSTAdata+xml,,,en,application,,
application/csvm+json,,,en,application,,
application/cybercash,,,en,application,,
application/dash+xml,,,en,application,,
application/dashdelta,,,en,application,,
application/davmount+xml,,,en,application,,
application/dca-rft,,,en,application,,
application/DCD,,,en,application,,
application/dec-dx,,,en,application,,
application/dialog-info+xml,,,en,application,,
application/dicom,,,en,application,,
application/dicom+json,,,en,application,,
application/dicom+xml,,,en,application,,
application/DII,,,en,application,,
application/DIT,,,en,application,,
application/dns,,,en,application,,
application/dskpp+xml,,,en,application,,
application/dssc+der,,,en,application,,
application/dssc+xml,,,en,application,,
application/dvcs,,,en,application,,
application/ecmascript,,,en,application,,
application/EDI-consent,,,en,application,,
application/EDIFACT,,,en,application,,
application/EDI-X12,,,en,application,,
application/efi,,,en,application,,
