code,name,description,language,category,category-name,category-description
0,NON FLOW ITEMS,Non resource flow items requested on DAC table 1,en,,,
100,GRANTS,,en,,,
1000,GUARANTEES AND OTHER UNFUNDED CONTINGENT LIABILITIES,,en,,,
200,INTEREST SUBSIDY,"Subsidies to soften the terms of private export credits, or loans or credits by the banking sector.",en,,,
300,CAPITAL SUBSCRIPTION,"Payments to multilateral agencies in the form of notes and similar instruments, unconditionally cashable at sight by the recipient institutions.",en,,,
400,LOAN,Transfers in cash or in kind for which the recipient incurs legal debt.,en,,,
420,DEBT INSTRUMENTS,,en,,,
430,MEZZANINE FINANCE INSTRUMENTS,,en,,,
500,EQUITY  AND SHARES IN COLLECTIVE INVESTMENT VEHICLES,,en,,,
600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club.",en,,,
700,INVESTMENT,Investment made by a private entity resident in a reporting country to acquire or add to a lasting interest(1) in an enterprise in a country on the DAC List of ODA Recipients.,en,,,
800,BONDS,Acquisition of bonds issued by developing countries.,en,,,
900,OTHER SECURITIES/CLAIMS,,en,,,
