code,name,description,language,category,category-name,category-description
1,WHO Registry,,en,,,
2,Sphere Handbook,,en,,,
3,US Foreign Assistance Framework,,en,,,
4,World Bank World Development Indicators,,en,,,
5,UN Millennium Development Goals Indicators,,en,,,
6,UNOCHA Humanitarian Response Indicators,,en,,,
7,HIV/AIDS Indicator Registry,,en,,,
8,Harmonized Indicators for Private Sector (HIPSO),,en,,,
9,UN Sustainable Development Goals (SDG) Indicators,,en,,,
99,Reporting Organisation,,en,,,
