code,name,description,language,category,category-name,category-description
aa,Afar,,en,,,
ab,Abkhazian,,en,,,
ae,Avestan,,en,,,
af,Afrikaans,,en,,,
ak,Akan,,en,,,
am,Amharic,,en,,,
an,Aragonese,,en,,,
ar,Arabic,,en,,,
as,Assamese,,en,,,
av,Avaric,,en,,,
ay,Aymara,,en,,,
az,Azerbaijani,,en,,,
ba,Bashkir,,en,,,
be,Belarusian,,en,,,
bg,Bulgarian,,en,,,
bh,Bihari languages,,en,,,
bi,Bislama,,en,,,
bm,Bambara,,en,,,
bn,Bengali,,en,,,
bo,Tibetan,,en,,,
br,Breton,,en,,,
bs,Bosnian,,en,,,
ca,Catalan; Valencian,,en,,,
ce,Chechen,,en,,,
ch,Chamorro,,en,,,
co,Corsican,,en,,,
cr,Cree,,en,,,
cs,Czech,,en,,,
cv,Chuvash,,en,,,
cy,Welsh,,en,,,
da,Danish,,en,,,
de,German,,en,,,
dv,Divehi; Dhivehi; Maldivian,,en,,,
dz,Dzongkha,,en,,,
ee,Ewe,,en,,,
el,Greek,,en,,,
en,English,,en,,,
eo,Esperanto,,en,,,
es,Spanish; Castilian,,en,,,
et,Estonian,,en,,,
eu,Basque,,en,,,
fa,Persian,,en,,,
ff,Fulah,,en,,,
fi,Finnish,,en,,,
fj,Fijian,,en,,,
fo,Faroese,,en,,,
fr,French,,en,,,
fy,Western Frisian,,en,,,
ga,Irish,,en,,,
gd,Gaelic; Scottish Gaelic,,en,,,
gl,Galician,,en,,,
gn,Guarani,,en,,,
gu,Gujarati,,en,,,
gv,Manx,,en,,,
ha,Hausa,,en,,,
he,Hebrew,,en,,,
hi,Hindi,,en,,,
ho,Hiri Motu,,en,,,
hr,Croatian,,en,,,
ht,Haitian; Haitian Creole,,en,,,
hu,Hungarian,,en,,,
hy,Armenian,,en,,,
hz,Herero,,en,,,
id,Indonesian,,en,,,
ig,Igbo,,en,,,
ii,Sichuan Yi; Nuosu,,en,,,
ik,Inupiaq,,en,,,
io,Ido,,en,,,
is,Icelandic,,en,,,
it,Italian,,en,,,
iu,Inuktitut,,en,,,
ja,Japanese,,en,,,
jv,Javanese,,en,,,
ka,Georgian,,en,,,
kg,Kongo,,en,,,
ki,Kikuyu; Gikuyu,,en,,,
kj,Kuanyama; Kwanyama,,en,,,
kk,Kazakh,,en,,,
kl,Kalaallisut; Greenlandic,,en,,,
km,Central Khmer,,en,,,
kn,Kannada,,en,,,
ko,Korean,,en,,,
kr,Kanuri,,en,,,
ks,Kashmiri,,en,,,
ku,Kurdish,,en,,,
kv,Komi,,en,,,
kw,Cornish,,en,,,
ky,Kirghiz; Kyrgyz,,en,,,
la,Latin,,en,,,
lb,Luxembourgish; Letzeburgesch,,en,,,
lg,Ganda,,en,,,
li,Limburgan; Limburger; Limburgish,,en,,,
ln,Lingala,,en,,,
lo,Lao,,en,,,
lt,Lithuanian,,en,,,
lu,Luba-Katanga,,en,,,
lv,Latvian,,en,,,
mg,Malagasy,,en,,,
mh,Marshallese,,en,,,
mi,Maori,,en,,,
mk,Macedonian,,en,,,
ml,Malayalam,,en,,,
mn,Mongolian,,en,,,
mr,Marathi,,en,,,
ms,Malay,,en,,,
mt,Maltese,,en,,,
my,Burmese,,en,,,
na,Nauru,,en,,,
nb,"Bokmål, Norwegian; Norwegian Bokmål",,en,,,
nd,"Ndebele, North; North Ndebele",,en,,,
ne,Nepali,,en,,,
ng,Ndonga,,en,,,
nl,Dutch; Flemish,,en,,,
nn,"Norwegian Nynorsk; Nynorsk, Norwegian",,en,,,
no,Norwegian,,en,,,
nr,"Ndebele, South; South Ndebele",,en,,,
nv,Navajo; Navaho,,en,,,
ny,Chichewa; Chewa; Nyanja,,en,,,
oc,Occitan (post 1500),,en,,,
oj,Ojibwa,,en,,,
om,Oromo,,en,,,
or,Oriya,,en,,,
os,Ossetian; Ossetic,,en,,,
pa,Panjabi; Punjabi,,en,,,
pi,Pali,,en,,,
pl,Polish,,en,,,
ps,Pushto; Pashto,,en,,,
pt,Portuguese,,en,,,
qu,Quechua,,en,,,
rm,Romansh,,en,,,
rn,Rundi,,en,,,
ro,Romanian; Moldavian; Moldovan,,en,,,
ru,Russian,,en,,,
