code,name,description,language,category,category-name,category-description
AIRQ,abandoned airfield,abandoned airfield,en,S,Spot Features,
CMPQ,abandoned camp,abandoned camp,en,S,Spot Features,
CNLQ,abandoned canal,abandoned canal,en,H,Hydrographic,
MFGQ,abandoned factory,abandoned factory,en,S,Spot Features,
FRMQ,abandoned farm,abandoned farm,en,S,Spot Features,
MNQ,abandoned mine,abandoned mine,en,S,Spot Features,
MSSNQ,abandoned mission,abandoned mission,en,S,Spot Features,
OILQ,abandoned oil well,abandoned oil well,en,S,Spot Features,
PPQ,abandoned police post,abandoned police post,en,S,Spot Features,
PPLQ,abandoned populated place,abandoned populated place,en,P,Populated Place,
PRNQ,abandoned prison,abandoned prison,en,S,Spot Features,
RRQ,abandoned railroad,abandoned railroad,en,R,Streets/Highways/Roads,
RSTNQ,abandoned railroad station,abandoned railroad station,en,S,Spot Features,
RSTPQ,abandoned railroad stop,abandoned railroad stop,en,S,Spot Features,
STMQ,abandoned watercourse,"a former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns",en,H,Hydrographic,
WLLQ,abandoned well,abandoned well,en,H,Hydrographic,
ADMD,administrative division,"an administrative division of a political entity, undifferentiated as to administrative level",en,A,Administrative Region,
ADMF,administrative facility,a government building,en,S,Spot Features,
AGRC,agricultural colony,a tract of land set aside for agricultural settlement,en,L,Area,
AGRF,agricultural facility,a building and/or tract of land used for improving agriculture,en,S,Spot Features,
RESA,agricultural reserve,a tract of land reserved for agricultural reclamation and/or development,en,L,Area,
SCHA,agricultural school,a school with a curriculum focused on agriculture,en,S,Spot Features,
AIRB,airbase,"an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated",en,S,Spot Features,
AIRF,airfield,a place on land where aircraft land and take off; no facilities provided for the commercial handling of passengers and cargo,en,S,Spot Features,
AIRP,airport,"a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo",en,S,Spot Features,
AMTH,amphitheater,an oval or circular structure with rising tiers of seats about a stage or open space,en,S,Spot Features,
STMA,anabranch,a diverging branch flowing out of a main stream and rejoining it downstream,en,H,Hydrographic,
