code,name,description,language,category,category-name,category-description
AT-1,Federal Ministry of Finance,,en,,,
AT-10,Ministry for Agriculture and Environment,,en,,,
AT-11,Ministry of Defense,,en,,,
AT-12,Ministry of Interior,,en,,,
AT-2,Various ministries,,en,,,
AT-3,Federal Government of Austria,,en,,,
AT-4,Oesterreichische Kontrollbank AG,,en,,,
AT-5,Federal Ministry of Foreign Affairs,,en,,,
AT-6,"Provincial governments, local communities ",,en,,,
AT-8,Austrian Development Agency,,en,,,
AT-9,Education and Science Ministry,,en,,,
AT-99,Miscellaneous,,en,,,
AU-5,Australian Agency for International Development,,en,,,
AU-72,Export Finance and Insurance Corporation,,en,,,
BE-10,Directorate General for Co-operation and Development,,en,,,
BE-20,Official Federal Service of Foreign Affairs (excl. DGCD),,en,,,
BE-30,Official Federal Service of Finance,,en,,,
BE-31,Ducroire National Office,,en,,,
BE-39,Other Official Federal Services,,en,,,
BE-70,Flanders Official Regional Ministries,,en,,,
BE-80,Walloon Official Regional Ministries,,en,,,
BE-91,Brussels Official Regional Ministries,,en,,,
BE-94,German speaking Official Regional Ministries,,en,,,
CA-1,Canadian International Development Agency,,en,,,
CA-2,International Development Research Centre,,en,,,
CA-31,Export Development Corporation,,en,,,
CA-4,Department of Finance,,en,,,
CH-1,Federal Administration (various departments),,en,,,
CH-10,"Swiss Agency for the Environment, Forests and Landscape ",,en,,,
CH-11,Municipalities,,en,,,
CH-4,Swiss Agency for Development and Co-operation,,en,,,
CH-5,State Secretariat for Economic Affairs,,en,,,
CH-6,Federal Department of Foreign Affairs,,en,,,
CH-7,State Secretariat for Education and Research,,en,,,
CH-8,Federal Office for Migration,,en,,,
CH-9,"Federal Department for Defence, Civil Protection and Sports ",,en,,,
DE-1,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,,en,,,
DE-11,Foreign Office,,en,,,
DE-12,Federal States & Local Governments,,en,,,
DE-14,Federal Institutions,,en,,,
DE-16,Federal Ministries,,en,,,
DE-17,Foundations/Societies/Misc. (non federal),,en,,,
DE-2,Kreditanstalt für Wiederaufbau,,en,,,
DE-34,Hermes Kreditversicherungs-AG,,en,,,
DE-4,German Investment and Development Company,,en,,,
DE-52,Deutsche Gesellschaft für Technische Zusammenarbeit,,en,,,
DK-1,Ministry of Foreign Affairs,,en,,,
DK-2,Danish International Development Agency (Not in CRS Directives),,en,,,
DK-4,Not in CRS Directives,,en,,,
DK-72,EKR,,en,,,
ES-1,Instituto de Credito Oficial,,en,,,
ES-10,Ministry of Environment,,en,,,
ES-11,Ministry of Health,,en,,,
ES-12,Ministry of Labour and Social Affairs,,en,,,
ES-13,Ministry of Interior,,en,,,
ES-14,Ministry of Public Administration,,en,,,
ES-15,Compania Espanola de Seguros de Credito a la Exportación,,en,,,
ES-16,Municipalities,,en,,,
ES-17,Miscellaneous,,en,,,
ES-18,Ministry of Science and Technology,,en,,,
ES-19,Ministry of Defense,,en,,,
ES-2,Autonomous Governments,,en,,,
ES-4,"Ministry of Agriculture, Fisheries, and Food ",,en,,,
ES-5,Ministry of Foreign Affairs,,en,,,
ES-6,Ministry of Economy and Finance,,en,,,
ES-7,"Ministry of Education, Culture and Sports ",,en,,,
ES-8,Ministry of Public Works,,en,,,
ES-9,Ministry of Industry and Energy,,en,,,
EU-1,Commission of the European Communities,,en,,,
EU-2,European Development Fund,,en,,,
EU-3,European Investment Bank,,en,,,
EU-4,Humanitarian Aid Office of the European Commission,,en,,,
FI-1,Finnish Government,,en,,,
FI-2,FinnFund,,en,,,
FI-3,Ministry of Foreign Affairs,,en,,,
FI-4,FIDE,,en,,,
FI-72,FinnVera,,en,,,
FR-10,"Ministry of Economy, Finance and Industry ",,en,,,
FR-17,"Ministry of Education, Higher education and Research ",,en,,,
FR-3,French Development Agency,,en,,,
FR-43,Coface,,en,,,
FR-6,Ministry of Foreign Affairs,,en,,,
GB-1,Department for International Development,,en,,,
GB-2,CDC Capital Partners PLC,,en,,,
GB-5,Export Credit Guarantee Department,,en,,,
GR-1,Ministry of Foreign Affairs,,en,,,
GR-2,Ministry of National Economy,,en,,,
GR-20,Miscellaneous,,en,,,
GR-3,"Ministry of the Interior, Public Administration and Decentralisation ",,en,,,
GR-4,Ministry of National Defence,,en,,,
GR-5,"Ministry of the Environment, Land Planning and Public Works ",,en,,,
GR-6,Ministry of National Education and Religions,,en,,,
GR-7,Ministry of Agriculture,,en,,,
GR-8,Ministry of Health - Welfare,,en,,,
GR-9,Ministry of Merchant Marine,,en,,,
IE-1,Department of Foreign Affairs,,en,,,
IE-71,Department of Industry and Commerce,,en,,,
IT-2,Agenzia Erogazioni Per l'Agricoltura,,en,,,
IT-4,Direzione Generale per la Cooperazione allo Sviluppo,,en,,,
IT-5,Not in CRS Directives,,en,,,
