code,name,description,language,category,category-name,category-description
10,Government,,en,,,
11,Local Government,Any local (sub national) government organisation in either donor or recipient country.,en,,,
15,Other Public Sector,,en,,,
21,International NGO,,en,,,
22,National NGO,,en,,,
23,Regional NGO,,en,,,
24,Partner Country based NGO,Local and National NGO / CSO based in aid/assistance recipient country,en,,,
30,Public Private Partnership,,en,,,
40,Multilateral,,en,,,
60,Foundation,,en,,,
70,Private Sector,,en,,,
71,Private Sector in Provider Country,Is in provider / donor country.,en,,,
72,Private Sector in Aid Recipient Country,Is in aid recipient country.,en,,,
73,Private Sector in Third Country,Is not in either a donor or aid recipient country.,en,,,
80,"Academic, Training and Research",,en,,,
90,Other,,en,,,
