code,name,description,language,category,category-name,category-description
88,States Ex-Yugoslavia unspecified,,en,,,
89,"Europe, regional",,en,,,
189,"North of Sahara, regional",,en,,,
289,"South of Sahara, regional",,en,,,
298,"Africa, regional",,en,,,
380,"West Indies, regional",,en,,,
389,"North & Central America, regional",,en,,,
489,"South America, regional",,en,,,
498,"America, regional",,en,,,
589,"Middle East, regional",,en,,,
619,"Central Asia, regional",,en,,,
679,"South Asia, regional",,en,,,
689,"South & Central Asia, regional",,en,,,
789,"Far East Asia, regional",,en,,,
798,"Asia, regional",,en,,,
889,"Oceania, regional",,en,,,
998,"Developing countries, unspecified",,en,,,
1027,"Eastern Africa, regional",,en,,,
1028,"Middle Africa, regional",,en,,,
1029,"Southern Africa, regional",,en,,,
1030,"Western Africa, regional",,en,,,
1031,"Caribbean, regional",,en,,,
1032,"Central America, regional",,en,,,
1033,"Melanesia, regional",,en,,,
1034,"Micronesia, regional",,en,,,
1035,"Polynesia, regional",,en,,,
