code,name,description,language,category,category-name,category-description
11110,Education policy and administrative management,"Education sector policy, planning and programmes; aid to education ministries, administration and management systems; institution capacity building and advice; school management and governance; curriculum and materials development; unspecified education activities.",en,111,"Education, Level Unspecified",The codes in this category are to be used only when level of education is unspecified or unknown (e.g. training of primary school teachers should be coded under 11220).
11120,Education facilities and training,"Educational buildings, equipment, materials; subsidiary services to education (boarding facilities, staff housing); language training; colloquia, seminars, lectures, etc.",en,111,"Education, Level Unspecified",The codes in this category are to be used only when level of education is unspecified or unknown (e.g. training of primary school teachers should be coded under 11220).
11130,Teacher training,Teacher education (where the level of education is unspecified); in-service and pre-service training; materials development.,en,111,"Education, Level Unspecified",The codes in this category are to be used only when level of education is unspecified or unknown (e.g. training of primary school teachers should be coded under 11220).
11182,Educational research,"Research and studies on education effectiveness, relevance and quality; systematic evaluation and monitoring.",en,111,"Education, Level Unspecified",The codes in this category are to be used only when level of education is unspecified or unknown (e.g. training of primary school teachers should be coded under 11220).
11220,Primary education,Formal and non-formal primary education for children; all elementary and first cycle systematic instruction; provision of learning materials.,en,112,Basic Education,
11230,Basic life skills for youth and adults,Formal and non-formal education for basic life skills for young people and adults (adults education); literacy and numeracy training. Excludes health education (12261) and activities related to prevention of noncommunicable diseases. (123xx).,en,112,Basic Education,
11231,Basic life skills for youth,Formal and non-formal education for basic life skills for young people.,en,112,Basic Education,
11232,Primary education equivalent for adults,Formal primary education for adults.,en,112,Basic Education,
11240,Early childhood education,Formal and non-formal pre-school education.,en,112,Basic Education,
11250,School feeding,"Provision of meals or snacks at school; other uses of food for the achievement of educational outcomes including “take-home” food rations provided as economic incentives to families (or foster families, or other child care institutions) in return for a child’s regular attendance at school; food provided to adults or youth who attend literacy or vocational training programmes; food for pre-school activities with an educational component. These activities may help reduce children’s hunger during the school day if provision of food/meals contains bioavailable nutrients to address specific nutrition needs and have nutrition expected outcomes in school children, or if the rationale mainstream nutrition or expected outcome is nutrition-linked.",en,112,Basic Education,
11320,Secondary education,Second cycle systematic instruction at both junior and senior levels.,en,113,Secondary Education,
11321,Lower secondary education,Second cycle systematic instruction at junior level.,en,113,Secondary Education,
11322,Upper secondary education,Second cycle systematic instruction at senior level.,en,113,Secondary Education,
11330,Vocational training,Elementary vocational training and secondary level technical education; on-the job training; apprenticeships; including informal vocational training.,en,113,Secondary Education,
11420,Higher education,"Degree and diploma programmes at universities, colleges and polytechnics; scholarships.",en,114,Post-Secondary Education,
11430,Advanced technical and managerial training,Professional-level vocational training programmes and in-service training.,en,114,Post-Secondary Education,
12110,Health policy and administrative management,"Health sector policy, planning and programmes; aid to health ministries, public health administration; institution capacity building and advice; medical insurance programmes; including health system strengthening and health governance; unspecified health activities.",en,121,"Health, General",
12181,Medical education/training,Medical education and training for tertiary level services.,en,121,"Health, General",
12182,Medical research,General medical research (excluding basic health research and research for prevention and control of NCDs (12382)).,en,121,"Health, General",
12191,Medical services,"Laboratories, specialised clinics and hospitals (including equipment and supplies); ambulances; dental services; medical rehabilitation. Excludes noncommunicable diseases (123xx).",en,121,"Health, General",
12196,Health statistics and data,"Collection, production, management and dissemination of statistics and data related to health. Includes health surveys, establishment of health databases, data collection on epidemics, etc.",en,121,"Health, General",
12220,Basic health care,"Basic and primary health care programmes; paramedical and nursing care programmes; supply of drugs, medicines and vaccines related to basic health care; activities aimed at achieving universal health coverage.",en,122,Basic Health,
12230,Basic health infrastructure,"District-level hospitals, clinics and dispensaries and related medical equipment; excluding specialised hospitals and clinics (12191).",en,122,Basic Health,
12240,Basic nutrition,"Micronutrient deficiency identification and supplementation; Infant and young child feeding promotion including exclusive breastfeeding; Non-emergency management of acute malnutrition and other targeted feeding programs (including complementary feeding); Staple food fortification including salt iodization; Nutritional status monitoring and national nutrition surveillance; Research, capacity building, policy development, monitoring and evaluation in support of these interventions.  Use code 11250 for school feeding and 43072 for household food security.",en,122,Basic Health,
12250,Infectious disease control,"Immunisation; prevention and control of infectious and parasite diseases, except malaria (12262), tuberculosis (12263), HIV/AIDS and other STDs (13040). It includes diarrheal diseases, vector-borne diseases (e.g. river blindness and guinea worm), viral diseases, mycosis, helminthiasis, zoonosis, diseases by other bacteria and viruses, pediculosis, etc.",en,122,Basic Health,
12261,Health education,"Information, education and training of the population for improving health knowledge and practices; public health and awareness campaigns; promotion of improved personal hygiene practices, including use of sanitation facilities and handwashing with soap.",en,122,Basic Health,
12262,Malaria control,Prevention and control of malaria.,en,122,Basic Health,
12263,Tuberculosis control,"Immunisation, prevention and control of tuberculosis.",en,122,Basic Health,
12281,Health personnel development,Training of health staff for basic health care services.,en,122,Basic Health,
12310,"NCDs control, general",Programmes for the prevention and control of NCDs which cannot be broken down into the codes below.,en,123,Non-communicable diseases (NCDs),
12320,Tobacco use control,"Population/individual measures and interventions to reduce all forms of tobacco use in any form. Includes activities related to the implementation of the WHO Framework Convention on Tobacco Control, including specific high-impact demand reduction measures for effective tobacco control.",en,123,Non-communicable diseases (NCDs),
12330,Control of harmful use of alcohol and drugs,"Prevention and reduction of harmful use of alcohol and psychoactive drugs; development, implementation, monitoring and evaluation of prevention and treatment strategies, programmes and interventions; early identification and management of health conditions caused by use of alcohol and drugs [excluding narcotics traffic control (16063)].",en,123,Non-communicable diseases (NCDs),
12340,Promotion of mental health and well-being,"Promotion of programmes and interventions which support mental health and well-being resiliency; prevention, care and support to individuals vulnerable to suicide. Excluding treatment of addiction to tobacco, alcohol and drugs (included in codes 12320 and 12330).",en,123,Non-communicable diseases (NCDs),
12350,Other prevention and treatment of NCDs,"Population/individual measures to reduce exposure to unhealthy diets and physical inactivity and to strengthen capacity for prevention, early detection, treatment and sustained management of NCDs including:  Cardiovascular disease control: Prevention, screening and treatment of cardiovascular diseases (including hypertension, hyperlipidaemia, ischaemic heart diseases, stroke, rheumatic heart disease, congenital heart disease, heart failure, etc.).   Diabetes control: Prevention, screening, diagnosis, treatment and management of complications from all types of diabetes.  Exposure to physical inactivity: Promotion of physical activity through supportive built environment (urban design, transport), sports, health care, schools and community programmes and mass media campaign.  Exposure to unhealthy diet: Programmes and interventions that promote healthy diet through reduced consumption of salt, sugar and fats and increased consumption of fruits and vegetables e.g. food reformulation, nutrient labelling, food taxes, marketing restriction on unhealthy foods, nutrition education and counselling, and settings-based interventions (schools, workplaces, villages, communities).  Cancer control: Prevention (including immunisation, HPV and HBV), early diagnosis (including pathology), screening, treatment (e.g. radiotherapy, chemotherapy, surgery) and palliative care for all types of cancers. Implementation, maintenance and improvement of cancer registries are also included.  Chronic respiratory diseases: Prevention, early diagnosis and treatment of chronic respiratory diseases, including asthma. Excludes: Tobacco use control (12320), Control of harmful use of alcohol and drugs (12330), research for the prevention and control of NCDs (12382).",en,123,Non-communicable diseases (NCDs),
12382,Research for prevention and control of NCDs,"Research to enhance understanding of NCDs, their risk factors, epidemiology, social determinants and economic impact; translational and implementation research to enhance operationalisation of cost-effective strategies to prevent and control NCDs; surveillance and monitoring of NCD mortality, morbidity, risk factor exposures, and national capacity to prevent and control NCDs.",en,123,Non-communicable diseases (NCDs),
13010,Population policy and administrative management,"Population/development policies; demographic research/analysis; reproductive health research; unspecified population activities. (Use purpose code 15190 for data on migration and refugees. Use code 13096 for census work, vital registration and migration data collection.)",en,130,Population Policies/Programmes & Reproductive Health,
13020,Reproductive health care,Promotion of reproductive health; prenatal and postnatal care including delivery; prevention and treatment of infertility; prevention and management of consequences of abortion; safe motherhood activities.,en,130,Population Policies/Programmes & Reproductive Health,
13030,Family planning,"Family planning services including counselling; information, education and communication (IEC) activities; delivery of contraceptives; capacity building and training.",en,130,Population Policies/Programmes & Reproductive Health,
