code,name,description,language,category,category-name,category-description
111,"Education, Level Unspecified",The codes in this category are to be used only when level of education is unspecified or unknown (e.g. training of primary school teachers should be coded under 11220).,en,,,
112,Basic Education,,en,,,
113,Secondary Education,,en,,,
114,Post-Secondary Education,,en,,,
121,"Health, General",,en,,,
122,Basic Health,,en,,,
123,Non-communicable diseases (NCDs),,en,,,
130,Population Policies/Programmes & Reproductive Health,,en,,,
140,Water Supply & Sanitation,,en,,,
151,Government & Civil Society-general,N.B. Use code 51010 for general budget support.,en,,,
152,"Conflict, Peace & Security","N.B. Further notes on ODA eligibility (and exclusions) of conflict, peace and security related activities are given in paragraphs 76-81 of the Directives.",en,,,
160,Other Social Infrastructure & Services,,en,,,
210,Transport & Storage,Note: Manufacturing of transport equipment should be included under code 32172.,en,,,
220,Communications,,en,,,
230,ENERGY GENERATION AND SUPPLY,"Energy sector policy, planning and programmes; aid to energy ministries; institution capacity building and advice; unspecified energy activities including energy conservation.",en,,,
231,Energy Policy,,en,,,
232,"Energy generation, renewable sources",,en,,,
233,"Energy generation, non-renewable sources",,en,,,
234,Hybrid energy plants,,en,,,
235,Nuclear energy plants,,en,,,
236,Energy distribution,,en,,,
240,Banking & Financial Services,,en,,,
250,Business & Other Services,,en,,,
311,Agriculture,,en,,,
312,Forestry,,en,,,
313,Fishing,,en,,,
321,Industry,,en,,,
322,Mineral Resources & Mining,,en,,,
323,Construction,,en,,,
331,Trade Policies & Regulations,,en,,,
332,Tourism,,en,,,
410,General Environment Protection,"Covers activities concerned with conservation, protection or amelioration of the physical environment without sector allocation.",en,,,
430,Other Multisector,,en,,,
510,General Budget Support,Budget support in the form of sector-wide approaches (SWAps) should be included in the respective sectors.,en,,,
520,Development Food Assistance,,en,,,
530,Other Commodity Assistance,Non-food commodity assistance (when benefiting sector not specified).,en,,,
600,Action Relating to Debt,,en,,,
720,Emergency Response,An emergency is a situation which results from man made crises and/or natural disasters.,en,,,
730,Reconstruction Relief & Rehabilitation,This relates to activities during and in the aftermath of an emergency situation.  Longer-term activities to improve the level of infrastructure or social services should be reported under the relevant economic and social sector codes. See also guideline on distinguishing humanitarian from sector-allocable aid.,en,,,
740,Disaster Prevention & Preparedness,See code 43060 for disaster risk reduction.,en,,,
910,Administrative Costs of Donors,,en,,,
920,SUPPORT TO NON- GOVERNMENTAL ORGANISATIONS (NGOs),In the donor country.,en,,,
930,Refugees in Donor Countries,,en,,,
998,Unallocated / Unspecified,Contributions to general development of the recipient should be included under programme assistance (51010).,en,,,
