code,name,description,category,url,status
1.1.1,Executive - executive,,1.1,,active
1.2.1,Legislative - legislative,,1.2,,active
1.3.1,Accountability - macroeconomic policy,,1.3,,active
1.3.2,Accountability - budgeting,,1.3,,active
1.3.3,Accountability - planning,,1.3,,active
1.3.4,Accountability - Treasury/Accounts,,1.3,,active
1.3.5,Accountability - debt and aid management,,1.3,,active
1.3.6,Accountability - tax policy,,1.3,,active
1.3.7,Accountability - tax collection,,1.3,,active
1.3.8,Accountability - local government finance,,1.3,,active
1.3.9,Accountability - other central transfers to institutions,,1.3,,active
1.3.10,Accountability - national audit,,1.3,,active
1.3.11,Accountability - national monitoring and evaluation,,1.3,,active
1.3.12,Accountability - monetary institutions,,1.3,,active
1.3.13,Accountability - financial sector policy and regulation,,1.3,,active
1.4.1,External Affairs - foreign affairs,,1.4,,active
1.4.2,External Affairs - diplomatic missions,,1.4,,active
1.4.3,External Affairs - official development assistance,,1.4,,active
1.5.1,General Personnel Services - general personnel services,,1.5,,active
1.6.1,Statistics - statistics,,1.6,,active
1.7.1,Other General Services - support to civil society,,1.7,,active
1.7.2,Other General Services - central procurement,,1.7,,active
1.7.3,Other General Services - Local Government Administration,,1.7,,active
1.7.4,Other General Services - other general services,,1.7,,active
1.8.1,Elections - elections,,1.8,,active
2.1.1,"Justice, Law and Order - policy, planning and administration",,2.1,,active
2.1.2,"Justice, Law and Order - fire or police",,2.1,,active
2.1.3,"Justice, Law and Order - judicial affairs",,2.1,,active
2.1.4,"Justice, Law and Order - Ombudsman",,2.1,,active
2.1.5,"Justice, Law and Order - human rights affairs",,2.1,,active
2.1.6,"Justice, Law and Order - immigration",,2.1,,active
2.1.7,"Justice, Law and Order - anti corruption",,2.1,,active
2.1.8,"Justice, Law and Order - prisons",,2.1,,active
2.1.9,"Justice, Law and Order - peace building",,2.1,,active
2.1.10,"Justice, Law and Order - demobilisation",,2.1,,active
2.2.1,"Defence - policy, planning and administration",,2.2,,active
2.2.2,Defence - military,,2.2,,active
2.2.3,Defence - civil defence,,2.2,,active
2.2.4,Defence - foreign military aid,,2.2,,active
3.1.1,"General Economic, Commercial and Labour Affairs - policy, planning and administration",,3.1,,active
