code,name,description,category,url,status
10000,Public Sector Institutions,,,,active
11000,Donor Government,,,,active
11001,Central Government,,11000,,active
11002,Local Government,,11000,,active
11003,Public corporations,,11000,,active
11004,Other public entities in donor country,,11000,,active
12000,Recipient Government,,,,active
12001,Central Government,,12000,,active
12002,Local Government,,12000,,active
12003,Public corporations,,12000,,active
12004,Other public entities in recipient country,,12000,,active
13000,Third Country Government (Delegated co-operation),,,,active
20000,Non-Governmental Organisation (NGO) and Civil Society,,,,active
21000,International NGO,,,,active
21001,Association of Geoscientists for International Development,,21000,,active
21002,Agency for International Trade Information and Co-operation,,47000,,active
21003,Latin American Council for Social Sciences,,23000,,active
21004,Council for the Development of Economic and Social Research in Africa,,51000,,active
21005,Consumer Unity and Trust Society International,,21000,,withdrawn
21006,Development Gateway Foundation,,22000,,active
21007,Environmental Liaison Centre International,,21000,,withdrawn
21008,Eurostep,,22000,,active
21009,Forum for Agricultural Research in Africa,,51000,,active
21010,Forum for African Women Educationalists,,23000,,active
21011,Global Campaign for Education,,21000,,active
21013,Health Action International,,21000,,active
21014,Human Rights Information and Documentation Systems,,22000,,active
21015,International Catholic Rural Association,,22000,,active
21016,International Committee of the Red Cross,,21000,,active
21017,International Centre for Trade and Sustainable Development,,32000,,active
21018,International Federation of Red Cross and Red Crescent Societies,,21000,,withdrawn
21019,International Federation of Settlements and Neighbourhood Centres,,22000,,active
21020,International HIV/AIDS Alliance,,21000,,active
21021,International Institute for Environment and Development,,51000,,active
21022,International Network for Alternative Financial Institutions,,21000,,withdrawn
21023,International Planned Parenthood Federation,,21000,,active
21024,"Inter Press Service, International Association",,21000,,withdrawn
21025,International Seismological Centre,,22000,,active
21026,International Service for Human Rights,,22000,,active
21027,ITF Enhancing Human Security,,22000,,active
21028,International University Exchange Fund - IUEF Stip. in Africa and Latin America,,23000,,active
21029,Doctors Without Borders,,21000,,active
21030,Pan African Institute for Development,,23000,,active
21031,PANOS Institute,,21000,,withdrawn
21032,Population Services International,,21000,,active
21033,Transparency International,,22000,,active
21034,International Union Against Tuberculosis and Lung Disease,,21000,,withdrawn
21035,World Organisation Against Torture,,22000,,active
21036,World University Service,,21000,,withdrawn
21037,Women's World Banking,,22000,,active
21038,International Alert,,21000,,withdrawn
21039,International Institute for Sustainable Development,,51000,,active
21040,International Women's Tribune Centre,,22000,,active
21041,Society for International Development,,21000,,withdrawn
21042,International Peacebuilding Alliance,,21000,,withdrawn
21043,European Parliamentarians for Africa,,32000,,active
21044,International Council for the Control of Iodine Deficiency Disorders,,21000,,withdrawn
21045,African Medical and Research Foundation,,21000,,active
21046,Agency for Cooperation and Research in Development,,21000,,withdrawn
21047,AgriCord,,22000,,active
21048,Association of African Universities,,23000,,active
21049,European Centre for Development Policy Management,,22000,,active
21050,Geneva Call,,22000,,active
21051,Institut Supérieur Panafricaine d’Economie Coopérative,,23000,,active
21053,"IPAS-Protecting Women’s Health, Advancing Women’s Reproductive Rights",,21000,,withdrawn
21054,Life and Peace Institute,,21000,,withdrawn
21055,Regional AIDS Training Network,,23000,,active
21056,Renewable Energy and Energy Efficiency Partnership,,31000,,active
21057,International Centre for Transitional Justice,,21000,,withdrawn
21058,International Crisis Group,,22000,,active
