code,name,description,category,url,status
AIRQ,abandoned airfield,abandoned airfield,S,,active
CMPQ,abandoned camp,abandoned camp,S,,active
CNLQ,abandoned canal,abandoned canal,H,,active
MFGQ,abandoned factory,abandoned factory,S,,active
FRMQ,abandoned farm,abandoned farm,S,,active
MNQ,abandoned mine,abandoned mine,S,,active
MSSNQ,abandoned mission,abandoned mission,S,,active
OILQ,abandoned oil well,abandoned oil well,S,,active
PPQ,abandoned police post,abandoned police post,S,,active
PPLQ,abandoned populated place,abandoned populated place,P,,active
PRNQ,abandoned prison,abandoned prison,S,,active
RRQ,abandoned railroad,abandoned railroad,R,,active
RSTNQ,abandoned railroad station,abandoned railroad station,S,,active
RSTPQ,abandoned railroad stop,abandoned railroad stop,S,,active
STMQ,abandoned watercourse,"a former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns",H,,active
WLLQ,abandoned well,abandoned well,H,,active
ADMD,administrative division,"an administrative division of a political entity, undifferentiated as to administrative level",A,,active
ADMF,administrative facility,a government building,S,,active
AGRC,agricultural colony,a tract of land set aside for agricultural settlement,L,,active
AGRF,agricultural facility,a building and/or tract of land used for improving agriculture,S,,active
RESA,agricultural reserve,a tract of land reserved for agricultural reclamation and/or development,L,,active
SCHA,agricultural school,a school with a curriculum focused on agriculture,S,,active
AIRB,airbase,"an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated",S,,active
AIRF,airfield,a place on land where aircraft land and take off; no facilities provided for the commercial handling of passengers and cargo,S,,active
AIRP,airport,"a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo",S,,active
AMTH,amphitheater,an oval or circular structure with rising tiers of seats about a stage or open space,S,,active
STMA,anabranch,a diverging branch flowing out of a main stream and rejoining it downstream,H,,active
ANCH,anchorage,an area where vessels may anchor,H,,active
RDA,ancient road,the remains of a road used by ancient cultures,R,,active
ANS,ancient site,"a place where archeological remains, old structures, or cultural artifacts are located",S,,active
WALLA,ancient wall,the remains of a linear defensive stone structure,S,,active
BLDA,apartment building,a building containing several individual apartments,S,,active
AQC,aquaculture facility,"facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish, and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture",S,,active
CNLA,aqueduct,a conduit used to carry water,H,,active
ARCH,arch,a natural or man-made structure in the form of an arch,S,,active
LAND,Arctic land,a tract of land in the Arctic,L,,active
AREA,area,a tract of land without homogeneous character or boundaries,L,,active
ISLF,artificial island,"an island created by landfill or diking and filling in a wetland, bay, or lagoon",T,,active
RNGA,artillery range,a tract of land used for artillery firing practice,L,,active
ASPH,asphalt lake,a small basin containing naturally occurring asphalt,T,,active
ASTR,astronomical station,a point on the earth whose position has been determined by observations of celestial bodies,S,,active
ASYL,asylum,a facility where the insane are cared for and protected,S,,active
ATHF,athletic field,"a tract of land used for playing team sports, and athletic track and field events",S,,active
ATOL,atoll(s),a ring-shaped coral reef which has closely spaced islands on it encircling a lagoon,T,,active
CTRA,atomic center,a facility where atomic research is carried out,S,,active
BDLD,badlands,"an area characterized by a maze of very closely spaced, deep, narrow, steep-sided ravines, and sharp crests and pinnacles",T,,active
BSTN,baling station,a facility for baling agricultural products,S,,active
ESTB,banana plantation,an estate that specializes in the growing of bananas,S,,active
BAN,bank,"an establishment for the custody, loan, exchange or issue of money, for the extension of credit, and for facilitating the transmission of funds",S,,active
BNK,bank(s),"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation",H,,active
