code,name,description,category,url,status
1,Gender Equality,,,,active
2,Aid to Environment,,,,active
3,Participatory Development/Good Governance,,,,active
4,Trade Development,,,,active
5,Aid Targeting the Objectives of the Convention on Biological Diversity,,,,active
6,Aid Targeting the Objectives of the Framework Convention on Climate Change - Mitigation,,,,active
7,Aid Targeting the Objectives of the Framework Convention on Climate Change - Adaptation,,,,active
8,Aid Targeting the Objectives of the Convention to Combat Desertification,,,,active
9,"Reproductive, Maternal, Newborn and Child Health (RMNCH)",,,,active
10,Disaster Risk Reduction(DRR),,,,active
11,Disability,,,,active
12,Nutrition,,,,active
