code,name,description,category,url,status
1,Incoming Funds,"Funds recieved for use on the activity, which can be from an external or internal source.",,,active
2,Outgoing Commitment,"A firm, written obligation from a donor or provider to provide a specified amount of funds, under particular terms and conditions, for specific purposes, for the benefit of the recipient.",,,active
3,Disbursement,"Outgoing funds that are placed at the disposal of a recipient government or organisation, or funds transferred between two separately reported activities.",,,active
4,Expenditure,Outgoing funds that are spent on goods and services for the activity.,,,active
5,Interest Payment,"The actual amount of interest paid on a loan or line of credit, including fees.",,,active
6,Loan Repayment,"The actual amount of principal (amortisation) repaid, including any arrears.",,,active
7,Reimbursement,"A type of disbursement that covers funds that have already been spent by the recipient, as agreed in the terms of the grant or loan",,,active
8,Purchase of Equity,Outgoing funds that are used to purchase equity in a business,,,active
9,Sale of Equity,Incoming funds from the sale of equity.,,,active
10,Credit Guarantee,A commitment made by a funding organisation to underwrite a loan or line of credit entered into by a third party.,,,active
11,Incoming Commitment,"A firm, written obligation from a donor or provider to provide a specified amount of funds, under particular terms and conditions, reported by a recipient for this activity.",,,active
12,Outgoing Pledge,"Indicative, non-binding advice of an intended outgoing commitment.",,,active
13,Incoming Pledge,"Indicative, non-binding advice of an intended incoming commitment.",,,active
