code,name,description,category,url,status
application/1d-interleaved-parityfec,,,application,,active
application/3gpdash-qoe-report+xml,,,application,,active
application/3gpp-ims+xml,,,application,,active
application/A2L,,,application,,active
application/activemessage,,,application,,active
application/activemessage,,,application,,active
application/alto-costmap+json,,,application,,active
application/alto-costmapfilter+json,,,application,,active
application/alto-directory+json,,,application,,active
application/alto-endpointprop+json,,,application,,active
application/alto-endpointpropparams+json,,,application,,active
application/alto-endpointcost+json,,,application,,active
application/alto-endpointcostparams+json,,,application,,active
application/alto-error+json,,,application,,active
application/alto-networkmapfilter+json,,,application,,active
application/alto-networkmap+json,,,application,,active
application/AML,,,application,,active
application/andrew-inset,,,application,,active
application/applefile,,,application,,active
application/ATF,,,application,,active
application/ATFX,,,application,,active
application/atom+xml,,,application,,active
application/atomcat+xml,,,application,,active
application/atomdeleted+xml,,,application,,active
application/atomicmail,,,application,,active
application/atomsvc+xml,,,application,,active
application/ATXML,,,application,,active
application/auth-policy+xml,,,application,,active
application/bacnet-xdd+zip,,,application,,active
application/batch-SMTP,,,application,,active
application/beep+xml,,,application,,active
application/calendar+json,,,application,,active
application/calendar+xml,,,application,,active
application/call-completion,,,application,,active
application/CALS-1840,,,application,,active
application/cbor,,,application,,active
application/ccmp+xml,,,application,,active
application/ccxml+xml,,,application,,active
application/CDFX+XML,,,application,,active
application/cdmi-capability,,,application,,active
application/cdmi-container,,,application,,active
application/cdmi-domain,,,application,,active
application/cdmi-object,,,application,,active
application/cdmi-queue,,,application,,active
application/cdni,,,application,,active
application/CEA,,,application,,active
application/cea-2018+xml,,,application,,active
application/cellml+xml,,,application,,active
application/cfw,,,application,,active
application/clue_info+xml,,,application,,active
application/cms,,,application,,active
application/cnrp+xml,,,application,,active
application/coap-group+json,,,application,,active
application/coap-payload,,,application,,active
application/commonground,,,application,,active
application/conference-info+xml,,,application,,active
application/cpl+xml,,,application,,active
application/cose,,,application,,active
application/cose-key,,,application,,active
application/cose-key-set,,,application,,active
application/csrattrs,,,application,,active
application/csta+xml,,,application,,active
application/CSTAdata+xml,,,application,,active
application/csvm+json,,,application,,active
application/cybercash,,,application,,active
application/dash+xml,,,application,,active
application/dashdelta,,,application,,active
application/davmount+xml,,,application,,active
application/dca-rft,,,application,,active
application/DCD,,,application,,active
application/dec-dx,,,application,,active
application/dialog-info+xml,,,application,,active
application/dicom,,,application,,active
application/dicom+json,,,application,,active
application/dicom+xml,,,application,,active
application/DII,,,application,,active
application/DIT,,,application,,active
application/dns,,,application,,active
application/dskpp+xml,,,application,,active
application/dssc+der,,,application,,active
application/dssc+xml,,,application,,active
application/dvcs,,,application,,active
application/ecmascript,,,application,,active
application/EDI-consent,,,application,,active
application/EDIFACT,,,application,,active
application/EDI-X12,,,application,,active
application/efi,,,application,,active
application/EmergencyCallData.Comment+xml,,,application,,active
application/EmergencyCallData.Control+xml,,,application,,active
application/EmergencyCallData.DeviceInfo+xml,,,application,,active
application/EmergencyCallData.eCall.MSD,,,application,,active
application/EmergencyCallData.ProviderInfo+xml,,,application,,active
application/EmergencyCallData.ServiceInfo+xml,,,application,,active
application/EmergencyCallData.SubscriberInfo+xml,,,application,,active
application/EmergencyCallData.VEDS+xml,,,application,,active
application/emma+xml,,,application,,active
application/emotionml+xml,,,application,,active
application/encaprtp,,,application,,active
application/epp+xml,,,application,,active
application/epub+zip,,,application,,active
application/eshop,,,application,,active
application/example,,,application,,active
application/exi,,,application,,active
application/fastinfoset,,,application,,active
application/fastsoap,,,application,,active
application/fdt+xml,,,application,,active
application/fits,,,application,,active
application/font-sfnt,,,application,,withdrawn
application/font-tdpfr,,,application,,active
application/font-woff,,,application,,withdrawn
application/framework-attributes+xml,,,application,,active
application/geo+json,,,application,,active
application/geo+json-seq,,,application,,active
application/gml+xml,,,application,,active
application/gzip,,,application,,active
application/H224,,,application,,active
application/held+xml,,,application,,active
application/http,,,application,,active
application/hyperstudio,,,application,,active
application/ibe-key-request+xml,,,application,,active
application/ibe-pkg-reply+xml,,,application,,active
application/ibe-pp-data,,,application,,active
application/iges,,,application,,active
application/im-iscomposing+xml,,,application,,active
application/index,,,application,,active
application/index.cmd,,,application,,active
application/index.obj,,,application,,active
application/index.response,,,application,,active
application/index.vnd,,,application,,active
application/inkml+xml,,,application,,active
application/iotp,,,application,,active
application/ipfix,,,application,,active
application/ipp,,,application,,active
application/isup,,,application,,active
application/its+xml,,,application,,active
application/javascript,,,application,,active
application/jose,,,application,,active
application/jose+json,,,application,,active
application/jrd+json,,,application,,active
application/json,,,application,,active
application/json-patch+json,,,application,,active
application/json-seq,,,application,,active
application/jwk+json,,,application,,active
application/jwk-set+json,,,application,,active
application/jwt,,,application,,active
application/kpml-request+xml,,,application,,active
application/kpml-response+xml,,,application,,active
application/ld+json,,,application,,active
application/lgr+xml,,,application,,active
application/link-format,,,application,,active
application/load-control+xml,,,application,,active
application/lost+xml,,,application,,active
application/lostsync+xml,,,application,,active
application/LXF,,,application,,active
application/mac-binhex40,,,application,,active
application/macwriteii,,,application,,active
application/mads+xml,,,application,,active
application/marc,,,application,,active
application/marcxml+xml,,,application,,active
application/mathematica,,,application,,active
application/mathml-content+xml,,,application,,active
application/mathml-presentation+xml,,,application,,active
application/mathml+xml,,,application,,active
application/mbms-associated-procedure-description+xml,,,application,,active
application/mbms-deregister+xml,,,application,,active
application/mbms-envelope+xml,,,application,,active
application/mbms-msk-response+xml,,,application,,active
application/mbms-msk+xml,,,application,,active
application/mbms-protection-description+xml,,,application,,active
application/mbms-reception-report+xml,,,application,,active
application/mbms-register-response+xml,,,application,,active
application/mbms-register+xml,,,application,,active
application/mbms-schedule+xml,,,application,,active
application/mbms-user-service-description+xml,,,application,,active
application/mbox,,,application,,active
application/media_control+xml,,,application,,active
application/media-policy-dataset+xml,,,application,,active
application/mediaservercontrol+xml,,,application,,active
application/merge-patch+json,,,application,,active
application/metalink4+xml,,,application,,active
application/mets+xml,,,application,,active
application/MF4,,,application,,active
application/mikey,,,application,,active
application/mods+xml,,,application,,active
application/moss-keys,,,application,,active
application/moss-signature,,,application,,active
application/mosskey-data,,,application,,active
application/mosskey-request,,,application,,active
application/mp21,,,application,,active
application/mp4,,,application,,active
application/mpeg4-generic,,,application,,active
application/mpeg4-iod,,,application,,active
application/mpeg4-iod-xmt,,,application,,active
application/mrb-consumer+xml,,,application,,active
application/mrb-publish+xml,,,application,,active
application/msc-ivr+xml,,,application,,active
application/msc-mixer+xml,,,application,,active
application/msword,,,application,,active
application/mud+json,,,application,,active
application/mxf,,,application,,active
