code,name,description,category,url,status
1,,,,http://apps.who.int/gho/indicatorregistry/App_Main/indicator_registry.aspx,active
2,,,,http://www.spherehandbook.org,active
3,,,,http://www.state.gov/s/d/rm/rls/dosstrat/2007/html/82981.htm,active
4,,,,http://data.worldbank.org/data-catalog/world-development-indicators,active
5,,,,http://mdgs.un.org/unsd/mdg/Host.aspx?Content=Indicators/OfficialList.htm,active
6,,,,https://www.humanitarianresponse.info/applications/ir/indicators,active
7,,,,http://www.indicatorregistry.org,active
8,,,,https://indicators.ifipartnership.org/indicators/,active
9,,,,https://unstats.un.org/sdgs/indicators/indicators-list/,active
99,,,,,active
