code,name,description,category,url,status
AIRQ,,,S,,active
CMPQ,,,S,,active
CNLQ,,,H,,active
MFGQ,,,S,,active
FRMQ,,,S,,active
MNQ,,,S,,active
MSSNQ,,,S,,active
OILQ,,,S,,active
PPQ,,,S,,active
PPLQ,,,P,,active
PRNQ,,,S,,active
RRQ,,,R,,active
RSTNQ,,,S,,active
RSTPQ,,,S,,active
STMQ,,,H,,active
WLLQ,,,H,,active
ADMD,,,A,,active
ADMF,,,S,,active
AGRC,,,L,,active
AGRF,,,S,,active
RESA,,,L,,active
SCHA,,,S,,active
AIRB,,,S,,active
AIRF,,,S,,active
AIRP,,,S,,active
AMTH,,,S,,active
STMA,,,H,,active
ANCH,,,H,,active
RDA,,,R,,active
ANS,,,S,,active
WALLA,,,S,,active
BLDA,,,S,,active
AQC,,,S,,active
CNLA,,,H,,active
ARCH,,,S,,active
LAND,,,L,,active
AREA,,,L,,active
ISLF,,,T,,active
RNGA,,,L,,active
ASPH,,,T,,active
ASTR,,,S,,active
ASYL,,,S,,active
ATHF,,,S,,active
ATOL,,,T,,active
CTRA,,,S,,active
BDLD,,,T,,active
BSTN,,,S,,active
ESTB,,,S,,active
BAN,,,S,,active
BNK,,,H,,active
BAR,,,T,,active
BRKS,,,S,,active
BTL,,,L,,active
BAY,,,H,,active
BAYS,,,H,,active
BCH,,,T,,active
RDGB,,,T,,active
BCHS,,,T,,active
BCN,,,S,,active
BNCH,,,T,,active
BGHT,,,H,,active
BLHL,,,T,,active
BLOW,,,T,,active
BTYD,,,S,,active
BOG,,,H,,active
PSTB,,,S,,active
BLDR,,,T,,active
BP,,,S,,active
BRKW,,,S,,active
MFGB,,,S,,active
BDG,,,S,,active
ZNB,,,A,,active
BLDG,,,S,,active
BUR,,,S,,active
BUSH,,,V,,active
CTRB,,,L,,active
BUTE,,,T,,active
CARN,,,S,,active
CLDA,,,T,,active
CMP,,,S,,active
CNL,,,H,,active
CNLB,,,H,,active
TNLC,,,H,,active
STMC,,,H,,active
MFGC,,,S,,active
CNYN,,,T,,active
CAPE,,,T,,active
PPLC,,,P,,active
RTE,,,R,,active
CSNO,,,S,,active
CSTL,,,S,,active
TNKD,,,S,,active
CSWY,,,R,,active
CAVE,,,S,,active
CMTY,,,S,,active
CHN,,,H,,active
MNCR,,,S,,active
CH,,,S,,active
CRQ,,,T,,active
CRQS,,,T,,active
CLG,,,L,,active
CFT,,,T,,active
CLF,,,T,,active
HSPC,,,S,,active
MNC,,,S,,active
COLF,,,L,,active
CST,,,L,,active
STNC,,,S,,active
GRVC,,,V,,active
SCHC,,,S,,active
CMN,,,L,,active
COMC,,,S,,active
CTRCM,,,S,,active
CNS,,,L,,active
CONE,,,T,,active
CNFL,,,H,,active
CRSU,,,U,,active
CVNT,,,S,,active
MNCU,,,S,,active
MFGCU,,,S,,active
RFC,,,H,,active
CRRL,,,S,,active
CRDR,,,T,,active
ESTC,,,S,,active
HSEC,,,S,,active
CTHSE,,,S,,active
COVE,,,H,,active
LKC,,,H,,active
LKSC,,,H,,active
CRTR,,,T,,active
CUET,,,T,,active
CULT,,,V,,active
CRNT,,,H,,active
CSTM,,,S,,active
PSTC,,,S,,active
CUTF,,,H,,active
DARY,,,S,,active
DAM,,,S,,active
DEPU,,,U,,active
DLTA,,,T,,active
PCLD,,,A,,active
DPR,,,T,,active
DSRT,,,T,,active
PPLW,,,P,,active
MNDT,,,S,,active
DIKE,,,S,,active
DIP,,,S,,active
HSPD,,,S,,active
STMD,,,H,,active
DTCH,,,H,,active
DTCHM,,,H,,active
DVD,,,T,,active
DCK,,,H,,active
DCKB,,,H,,active
DCKY,,,S,,active
BSND,,,L,,active
CNLD,,,H,,active
DTCHD,,,H,,active
DCKD,,,S,,active
SBED,,,T,,active
DUNE,,,T,,active
RGNE,,,L,,active
SCRP,,,T,,active
EST,,,S,,active
ESTY,,,H,,active
STNE,,,S,,active
FCL,,,S,,active
CTRF,,,S,,active
MFG,,,S,,active
FAN,,,T,,active
FRM,,,S,,active
PPLF,,,P,,active
FRMS,,,S,,active
FRMT,,,S,,active
FY,,,S,,active
FYT,,,S,,active
FLD,,,L,,active
FIRE,,,S,,active
ADM1,,,A,,active
FISH,,,H,,active
PNDSF,,,H,,active
FSR,,,T,,active
FJD,,,H,,active
FJDS,,,H,,active
FORD,,,T,,active
RESF,,,L,,active
STNF,,,S,,active
FRST,,,V,,active
INLTQ,,,H,,active
MLSGQ,,,S,,active
FT,,,S,,active
FRSTF,,,V,,active
FNDY,,,S,,active
ADM4,,,A,,active
ZNF,,,S,,active
PCLF,,,A,,active
DPOF,,,S,,active
GAP,,,T,,active
GDN,,,S,,active
GOSP,,,S,,active
GASF,,,L,,active
GATE,,,S,,active
GYSR,,,H,,active
GHAT,,,S,,active
GLCR,,,H,,active
MNAU,,,S,,active
RECG,,,S,,active
GRGE,,,T,,active
GRSLD,,,V,,active
GRVE,,,S,,active
GVL,,,L,,active
GRAZ,,,L,,active
GHSE,,,S,,active
GULF,,,H,,active
HLT,,,S,,active
HMCK,,,T,,active
AIRG,,,S,,active
VALG,,,T,,active
HBR,,,H,,active
HDLD,,,T,,active
STMH,,,H,,active
HTH,,,V,,active
AIRH,,,S,,active
HERM,,,S,,active
HLL,,,T,,active
HLLS,,,T,,active
ADMDH,,,A,,active
ADM1H,,,A,,active
ADM4H,,,A,,active
PCLH,,,A,,active
PPLH,,,P,,active
RRH,,,R,,active
RSTNH,,,S,,active
RGNH,,,L,,active
ADM2H,,,A,,active
HSTS,,,S,,active
ADM3H,,,A,,active
UFHU,,,U,,active
HMSD,,,S,,active
HSP,,,S,,active
SPNT,,,H,,active
HTL,,,S,,active
HSE,,,S,,active
DEVH,,,L,,active
RESH,,,L,,active
HUT,,,S,,active
HUTS,,,S,,active
PSH,,,S,,active
CAPG,,,H,,active
DPRG,,,H,,active
DOMG,,,H,,active
RDGG,,,H,,active
PCLI,,,A,,active
INDS,,,L,,active
INLT,,,H,,active
STNI,,,S,,active
TRGD,,,T,,active
INTF,,,T,,active
LKI,,,H,,active
LKSI,,,H,,active
LKOI,,,H,,active
PNDI,,,H,,active
PNDSI,,,H,,active
POOLI,,,H,,active
RSVI,,,H,,active
LKNI,,,H,,active
LKSNI,,,H,,active
PNDNI,,,H,,active
STMI,,,H,,active
WTLDI,,,H,,active
RDIN,,,S,,active
MNFE,,,S,,active
FLDI,,,L,,active
CNLI,,,H,,active
DTCHI,,,H,,active
SYSI,,,H,,active
ISL,,,T,,active
ISLS,,,T,,active
STLMT,,,P,,active
ISTH,,,T,,active
JTY,,,S,,active
KRST,,,T,,active
CMPLA,,,S,,active
LGN,,,H,,active
LGNS,,,H,,active
LK,,,H,,active
LBED,,,H,,active
CHNL,,,H,,active
RGNL,,,L,,active
