code,name,description,category,url,status
AT-1,,,,,active
AT-10,,,,,active
AT-11,,,,,active
AT-12,,,,,active
AT-2,,,,,active
AT-3,,,,,active
AT-4,,,,,active
AT-5,,,,,active
AT-6,,,,,active
AT-8,,,,,active
AT-9,,,,,active
AT-99,,,,,active
AU-5,,,,,active
AU-72,,,,,active
BE-10,,,,,active
BE-20,,,,,active
BE-30,,,,,active
BE-31,,,,,active
BE-39,,,,,active
BE-70,,,,,active
BE-80,,,,,active
BE-91,,,,,active
BE-94,,,,,active
CA-1,,,,,active
CA-2,,,,,active
CA-31,,,,,active
CA-4,,,,,active
CH-1,,,,,active
CH-10,,,,,active
CH-11,,,,,active
CH-4,,,,,active
CH-5,,,,,active
CH-6,,,,,active
CH-7,,,,,active
CH-8,,,,,active
CH-9,,,,,active
DE-1,,,,,active
DE-11,,,,,active
DE-12,,,,,active
DE-14,,,,,active
DE-16,,,,,active
DE-17,,,,,active
DE-2,,,,,active
DE-34,,,,,active
DE-4,,,,,active
DE-52,,,,,active
DK-1,,,,,active
DK-2,,,,,active
DK-4,,,,,active
DK-72,,,,,active
ES-1,,,,,active
ES-10,,,,,active
ES-11,,,,,active
ES-12,,,,,active
ES-13,,,,,active
ES-14,,,,,active
ES-15,,,,,active
ES-16,,,,,active
ES-17,,,,,active
ES-18,,,,,active
ES-19,,,,,active
ES-2,,,,,active
ES-4,,,,,active
ES-5,,,,,active
ES-6,,,,,active
ES-7,,,,,active
ES-8,,,,,active
ES-9,,,,,active
EU-1,,,,,active
EU-2,,,,,active
EU-3,,,,,active
EU-4,,,,,active
FI-1,,,,,active
FI-2,,,,,active
FI-3,,,,,active
FI-4,,,,,active
FI-72,,,,,active
FR-10,,,,,active
FR-17,,,,,active
FR-3,,,,,active
FR-43,,,,,active
FR-6,,,,,active
GB-1,,,,,active
GB-2,,,,,active
GB-5,,,,,active
GR-1,,,,,active
GR-2,,,,,active
GR-20,,,,,active
GR-3,,,,,active
GR-4,,,,,active
GR-5,,,,,active
GR-6,,,,,active
GR-7,,,,,active
GR-8,,,,,active
GR-9,,,,,active
IE-1,,,,,active
IE-71,,,,,active
IT-2,,,,,active
IT-4,,,,,active
IT-5,,,,,active
IT-7,,,,,active
IT-74,,,,,active
IT-8,,,,,active
IT-9,,,,,active
JP-1,,,,,active
JP-10,,,,,active
JP-11,,,,,active
JP-12,,,,,active
JP-13,,,,,active
JP-14,,,,,active
JP-15,,,,,active
JP-2,,,,,active
JP-7,,,,,active
JP-71,,,,,active
JP-8,,,,,active
LU-1,,,,,active
LU-2,,,,,active
LU-22,,,,,active
NL-1,,,,,active
NL-33,,,,,active
NL-4,,,,,active
NO-1,,,,,active
NO-4,,,,,active
NO-7,,,,,active
NO-71,,,,,active
NO-72,,,,,active
NO-8,,,,,active
NZ-1,,,,,active
NZ-2,,,,,active
PT-1,,,,,active
PT-2,,,,,active
PT-3,,,,,active
PT-71,,,,,active
SE-2,,,,,active
SE-6,,,,,active
SE-71,,,,,active
US-1,,,,,active
US-10,,,,,active
US-11,,,,,active
US-12,,,,,active
US-13,,,,,active
US-15,,,,,active
US-16,,,,,active
US-17,,,,,active
US-2,,,,,active
US-31,,,,,active
US-5,,,,,active
US-6,,,,,active
US-7,,,,,active
US-8,,,,,active
US-9,,,,,active
41101,,,,,active
41102,,,,,active
41103,,,,,active
41104,,,,,active
41105,,,,,active
