code,name,description,category,url,status
88,Etats ex-Yougoslavie non spécifié,,,,active
89,"Europe, régional",,,,active
189,"Nord du Sahara, régional",,,,active
289,"Sud du Sahara, régional",,,,active
298,"Afrique, régional",,,,active
380,"Indes occ., régional",,,,withdrawn
389,"Amérique N. & C., régional",,,,active
489,"Amérique du Sud, régional",,,,active
498,"Amérique, régional",,,,active
589,"Moyen-Orient, régional",,,,active
619,"Asie centrale, régional",,,,active
679,"Asie du Sud, régional",,,,active
689,"Asie du Sud & C., régional",,,,active
789,"Extrême-Orient, régional",,,,active
798,"Asie, régional",,,,active
889,"Océanie, régional",,,,active
998,"Pays en développement, non spécifié",,,,active
1027,"Afrique de l'est, régional",,,,active
1028,"Afrique centrale, régional",,,,active
1029,"Afrique australe, régional",,,,active
1030,"Afrique occidentale, régional",,,,active
1031,"Caraïbes, régional",,,,active
1032,"Amérique centrale, régional",,,,active
1033,"Mélanésie, régional",,,,active
1034,"Micronésie, régional",,,,active
1035,"Polynésie, régional",,,,active
