code,name,description,category,url,status
111,"Education, Niveau non spécifié",Les codes de cette catégorie doivent être utilisés seulement si le niveau d’éducation n’est pas spécifié ou connu (par exemple la formation d’enseignants d’écoles primaires devrait être codée sous 11220).,,,active
112,Education de Base,,,,active
113,Education Secondaire,,,,active
114,Education Post Secondaire,,,,active
121,"Santé, Général",,,,active
122,Santé de Base,,,,active
123,Maladies non-transmissibles (MNT),,,,active
130,Politique en Matière de Population/Santé&Fertilité,,,,active
140,Distribution d'Eau et Assainissement,,,,active
151,Gouvernement & Société Civile-général,N.B. Utiliser le code 51010 pour le soutien budgétaire général.,,,active
152,"Conflits, Paix et Sécurité","N.B. Des notes supplémentaires sur l’éligibilité au titre de l’APD (et les exclusions) des activités liées aux conflits, la paix et la sécurité sont données dans les paragraphes 76-81 des Directives.",,,active
160,Infrastructure et Services Sociaux Divers,,,,active
210,Transports et Entreposage,Nota bene : La fabrication de matériel de transport devrait être incluse dans le code 32172.,,,active
220,Communications,,,,active
230,,,,,withdrawn
231,Politique de l'énergie,,,,active
232,"Production d'électricité, sources renouvelables",,,,active
233,"Production d'électricité, sources non renouvelables",,,,active
234,Centrales hybrides,,,,active
235,Centrales nucléaires,,,,active
236,Distribution de l'énergie,,,,active
240,Banques et Services Financiers,,,,active
250,Entreprises et Autres Services,,,,active
311,Agriculture,,,,active
312,Sylviculture,,,,active
313,Pêche,,,,active
321,Industries Manufacturières,,,,active
322,Industries Extractives,,,,active
323,Construction,,,,active
331,Politique Commerciale et Réglementations,,,,active
332,Tourisme,,,,active
410,Protection de l'Environnement Général,Secteur non spécifié.,,,active
430,Autres Multisecteurs,,,,active
510,Soutien Budgétaire,Les soutiens budgétaires sous la forme d’approches sectorielles devraient être inclus dans les secteurs respectifs.,,,active
520,Aide Alimentaire Dévelopmentale,,,,active
530,"Aide sous forme de Produits, Autre",Aide sous forme de produits non alimentaires (quand le secteur bénéficiaire ne peut être précisé).,,,active
600,Actions se Rapportant a la Dette,,,,active
720,Intervention d'Urgence,Une situation d’urgence a pour origine une crise provoquée par des actions humaines ou par une catastrophe naturelle.,,,active
730,Reconstruction & Réhabilitation,Activités menées pendant et après une situation d’urgence. Les activités à plus long terme destinées à améliorer le niveau d’infrastructure ou de services sociaux doivent être rapportées sous les codes correspondants des secteurs économiques et sociaux pertinents. Voir également les orientations sur la distinction entre l’aide humanitaire et l’aide ventilable par secteur.,,,active
740,Prévention catastrophes/Préparation à leur survenue,Voir code 43060 pour la réduction des risques de catastrophes.,,,active
910,Frais Administratifs des Donneurs,,,,active
920,,,,,withdrawn
930,Refugiés dans les Pays Donneurs,,,,active
998,Non Affecté / Non Specifié,,,,active
