code,name,description,category,url,status
AT-1,Federal Ministry of Finance,,,,active
AT-10,Ministry for Agriculture and Environment,,,,active
AT-11,Ministry of Defense,,,,active
AT-12,Ministry of Interior,,,,active
AT-2,Various ministries,,,,active
AT-3,Federal Government of Austria,,,,active
AT-4,Oesterreichische Kontrollbank AG,,,,active
AT-5,Federal Ministry of Foreign Affairs,,,,active
AT-6,"Provincial governments, local communities",,,,active
AT-8,Austrian Development Agency,,,,active
AT-9,Education and Science Ministry,,,,active
AT-99,Miscellaneous,,,,active
AU-5,Australian Agency for International Development,,,,active
AU-72,Export Finance and Insurance Corporation,,,,active
BE-10,Directorate General for Co-operation and Development,,,,active
BE-20,Official Federal Service of Foreign Affairs (excl. DGCD),,,,active
BE-30,Official Federal Service of Finance,,,,active
BE-31,Ducroire National Office,,,,active
BE-39,Other Official Federal Services,,,,active
BE-70,Flanders Official Regional Ministries,,,,active
BE-80,Walloon Official Regional Ministries,,,,active
BE-91,Brussels Official Regional Ministries,,,,active
BE-94,German speaking Official Regional Ministries,,,,active
CA-1,Canadian International Development Agency,,,,active
CA-2,International Development Research Centre,,,,active
CA-31,Export Development Corporation,,,,active
CA-4,Department of Finance,,,,active
CH-1,Federal Administration (various departments),,,,active
CH-10,"Swiss Agency for the Environment, Forests and Landscape",,,,active
CH-11,Municipalities,,,,active
CH-4,Swiss Agency for Development and Co-operation,,,,active
CH-5,State Secretariat for Economic Affairs,,,,active
CH-6,Federal Department of Foreign Affairs,,,,active
CH-7,State Secretariat for Education and Research,,,,active
CH-8,Federal Office for Migration,,,,active
CH-9,"Federal Department for Defence, Civil Protection and Sports",,,,active
DE-1,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,,,,active
DE-11,Foreign Office,,,,active
DE-12,Federal States & Local Governments,,,,active
DE-14,Federal Institutions,,,,active
DE-16,Federal Ministries,,,,active
DE-17,Foundations/Societies/Misc. (non federal),,,,active
DE-2,Kreditanstalt für Wiederaufbau,,,,active
DE-34,Hermes Kreditversicherungs-AG,,,,active
DE-4,German Investment and Development Company,,,,active
DE-52,Deutsche Gesellschaft für Technische Zusammenarbeit,,,,active
DK-1,Ministry of Foreign Affairs,,,,active
DK-2,Danish International Development Agency (Not in CRS Directives),,,,active
DK-4,Not in CRS Directives,,,,active
DK-72,EKR,,,,active
ES-1,Instituto de Credito Oficial,,,,active
ES-10,Ministry of Environment,,,,active
ES-11,Ministry of Health,,,,active
ES-12,Ministry of Labour and Social Affairs,,,,active
ES-13,Ministry of Interior,,,,active
ES-14,Ministry of Public Administration,,,,active
ES-15,Compania Espanola de Seguros de Credito a la Exportación,,,,active
ES-16,Municipalities,,,,active
ES-17,Miscellaneous,,,,active
ES-18,Ministry of Science and Technology,,,,active
ES-19,Ministry of Defense,,,,active
ES-2,Autonomous Governments,,,,active
