code,name,description,category,url,status
11110,Education policy and administrative management,"Education sector policy, planning and programmes; aid to education ministries, administration and management systems; institution capacity building and advice; school management and governance; curriculum and materials development; unspecified education activities.",111,,active
11120,Education facilities and training,"Educational buildings, equipment, materials; subsidiary services to education (boarding facilities, staff housing); language training; colloquia, seminars, lectures, etc.",111,,active
11130,Teacher training,Teacher education (where the level of education is unspecified); in-service and pre-service training; materials development.,111,,active
11182,Educational research,"Research and studies on education effectiveness, relevance and quality; systematic evaluation and monitoring.",111,,active
11220,Primary education,Formal and non-formal primary education for children; all elementary and first cycle systematic instruction; provision of learning materials.,112,,active
11230,Basic life skills for youth and adults,Formal and non-formal education for basic life skills for young people and adults (adults education); literacy and numeracy training. Excludes health education (12261) and activities related to prevention of noncommunicable diseases. (123xx).,112,,active
11231,Basic life skills for youth,Formal and non-formal education for basic life skills for young people.,112,,active
11232,Primary education equivalent for adults,Formal primary education for adults.,112,,active
11240,Early childhood education,Formal and non-formal pre-school education.,112,,active
11250,School feeding,"Provision of meals or snacks at school; other uses of food for the achievement of educational outcomes including “take-home” food rations provided as economic incentives to families (or foster families, or other child care institutions) in return for a child’s regular attendance at school; food provided to adults or youth who attend literacy or vocational training programmes; food for pre-school activities with an educational component. These activities may help reduce children’s hunger during the school day if provision of food/meals contains bioavailable nutrients to address specific nutrition needs and have nutrition expected outcomes in school children, or if the rationale mainstream nutrition or expected outcome is nutrition-linked.",112,,active
11320,Secondary education,Second cycle systematic instruction at both junior and senior levels.,113,,active
11321,Lower secondary education,Second cycle systematic instruction at junior level.,113,,active
11322,Upper secondary education,Second cycle systematic instruction at senior level.,113,,active
11330,Vocational training,Elementary vocational training and secondary level technical education; on-the job training; apprenticeships; including informal vocational training.,113,,active
11420,Higher education,"Degree and diploma programmes at universities, colleges and polytechnics; scholarships.",114,,active
11430,Advanced technical and managerial training,Professional-level vocational training programmes and in-service training.,114,,active
12110,Health policy and administrative management,"Health sector policy, planning and programmes; aid to health ministries, public health administration; institution capacity building and advice; medical insurance programmes; including health system strengthening and health governance; unspecified health activities.",121,,active
12181,Medical education/training,Medical education and training for tertiary level services.,121,,active
12182,Medical research,General medical research (excluding basic health research and research for prevention and control of NCDs (12382)).,121,,active
12191,Medical services,"Laboratories, specialised clinics and hospitals (including equipment and supplies); ambulances; dental services; medical rehabilitation. Excludes noncommunicable diseases (123xx).",121,,active
12196,Health statistics and data,"Collection, production, management and dissemination of statistics and data related to health. Includes health surveys, establishment of health databases, data collection on epidemics, etc.",121,,active
