code,name,description,category,url,status
10000,Institutions du secteur public,,,,active
11000,Gouvernement du donneur,,,,active
11001,Gouvernment central,,11000,,active
11002,Gouvernment local,,11000,,active
11003,Entreprise publique,,11000,,active
11004,Autres entité publique dans le pays donneur,,11000,,active
12000,Gouvernement du bénéficiaire,,,,active
12001,Gouvernment central,,12000,,active
12002,Gouvernment local,,12000,,active
12003,Entreprise publique,,12000,,active
12004,Autres entité publique dans le pays bénéficiaire,,12000,,active
13000,Gouvernement tiers (coopération déléguée),,,,active
20000,Organisations non gouvernementales (ONG) et société civile,,,,active
21000,ONG internationales,,,,active
21001,Association de géoscientifiques pour le développement international,,21000,,active
21002,Agence de coopération et d'information pour le commerce international,,47000,,active
21003,Conseil latino-américain des sciences sociales,,23000,,active
21004,Conseil pour le développement de la recherche en sciences sociales en Afrique,,51000,,active
21005,Consumer Unity and Trust Society International,,21000,,withdrawn
21006,Development Gateway Foundation,,22000,,active
21007,Centre international de liaison pour l’environnement,,21000,,withdrawn
21008,Eurostep,,22000,,active
21009,Forum pour la recherche agricole en Afrique,,51000,,active
21010,Forum des éducatrices africaines,,23000,,active
21011,Campagne mondiale pour l’éducation,,21000,,active
21013,Health Action International,,21000,,active
21014,Systèmes d’Information et de Documentation sur les Droits de l’Homme,,22000,,active
21015,Association internationale rurale catholique,,22000,,active
21016,Comité international de la Croix-Rouge,,21000,,active
21017,Centre international de commerce et de développement durable,,32000,,active
21018,Fédération internationale des Sociétés de la Croix-Rouge et du Croissant-Rouge,,21000,,withdrawn
21019,Fédération internationale des centres sociaux et communautaires,,22000,,active
21020,International HIV/AIDS Alliance,,21000,,active
21021,Institut international pour l’environnement et le développement,,51000,,active
21022,Réseau international d’institutions financières,,21000,,withdrawn
21023,Fédération internationale pour le planning familial,,21000,,active
21024,"Inter Press Service, International Association",,21000,,withdrawn
21025,Centre séismologique international,,22000,,active
21026,Service International pour les Droits de l’Homme,,22000,,active
21027,ITF Améliorer la sécurité humaine,,22000,,active
21028,Fonds international d’échanges universitaires - Échanges intéressant l’Afrique et l’Amérique latine,,23000,,active
21029,Médecins Sans Frontières,,21000,,active
21030,Institut panafricain pour le développement,,23000,,active
21031,Institut PANOS,,21000,,withdrawn
21032,Organisation internationale pour les services en matière de population,,21000,,active
21033,Transparency International,,22000,,active
21034,Union Internationale Contre la Tuberculose et les Maladies Respiratoires,,21000,,withdrawn
21035,Organisation mondiale contre la torture,,22000,,active
21036,Entraide universitaire mondiale,,21000,,withdrawn
21037,Banque mondiale des femmes,,22000,,active
21038,International Alert,,21000,,withdrawn
21039,Institut international de développement durable,,51000,,active
21040,Centre de la tribune internationale de la femme,,22000,,active
21041,Société pour le développement international,,21000,,withdrawn
21042,Alliance internationale pour la consolidation de la paix,,21000,,withdrawn
21043,Association des parlementaires d’Europe pour l’Afrique,,32000,,active
21044,Conseil international pour la lutte contre les troubles dus à une carence en iode,,21000,,withdrawn
21045,Fondation africaine pour la médecine et la recherche,,21000,,active
21046,Association de Coopération et de Recherche pour le Développement,,21000,,withdrawn
21047,AgriCord,,22000,,active
21048,Association des universités africaines,,23000,,active
21049,Centre européen de gestion de politiques de développement,,22000,,active
21050,Appel de Genève,,22000,,active
21051,Institut supérieur panafricaine d’economie coopérative,,23000,,active
21053,"IPAS-Protecting Women's Health, Advancing Women's Reproductive Rights",,21000,,withdrawn
21054,Institut Vie et Paix,,21000,,withdrawn
21055,Réseau régional de formation sur le SIDA,,23000,,active
21056,Partenariat pour les énergies renouvelables et l'efficience énergétique,,31000,,active
21057,Centre International pour la Justice Transitionnelle,,21000,,withdrawn
21058,International Crisis Group,,22000,,active
21059,Fonds solidaire pour l'Afrique,,23000,,active
21060,Association pour la prévention de la torture,,22000,,active
21061,Conseil international de réhabilitation pour les victimes de torture,,21000,,active
21062,The Nature Conservancy,,21000,,active
21063,,,21000,,active
21064,Initiative Clinton pour l'accès à la santé,,21000,,active
21501,,,21000,,active
21502,,,21000,,active
21503,,,21000,,active
21504,,,21000,,active
21505,,,21000,,active
21506,,,21000,,active
21507,,,21000,,active
22000,ONG basée dans un pays donneur,,,,active
22501,,,22000,,active
22502,,,22000,,active
23000,ONG basée dans un pays en développement,,,,active
23501,Sociétés nationales de la Croix-Rouge et du Croissant-Rouge,,23000,,active
30000,Partenariats public-privé (PPP) et réseaux,,,,active
30001,Alliance mondiale pour une meilleure nutrition,,31000,,active
30003,Initiative mondiale en faveur de l’informatique dans les écoles et dans les communautés,,31000,,active
30004,Partenariat mondial pour l'eau,,31000,,active
30005,Initiative internationale pour un vaccin contre le SIDA,,31000,,active
30006,Partenariat international pour des microbicides,,31000,,active
30007,Alliance mondiale pour les TIC et le développement,,31000,,active
30008,Alliance pour les villes,,31000,,active
30009,Small Arms Survey,,31000,,active
30010,Facilité internationale d'achat de médicaments,,47000,,active
30011,Union internationale pour la conservation de la nature,,31000,,active
30012,Global Climate Partnership Fund,,31000,,active
30013,Mécanisme de soutien au microfinancement,,31000,,active
30014,"Fonds régional d’investissement pour les très petites, petites et moyennes entreprises d’Afrique subsaharienne",,31000,,active
30015,Fonds mondial pour la promotion de l'efficacité énergétique et des énergies renouvelables,,31000,,active
30016,European Fund for Southeast Europe,,31000,,active
30017,"SANAD Fund for Micro, Small and Medium Enterprises",,31000,,active
31000,Partenariats public-privé (PPP),,,,active
31001,Réseau de développement mondial,,32000,,active
31002,Alliance mondiale pour le savoir,,32000,,active
31003,Coalition internationale pour l'accès à la terre,,32000,,active
31004,Secrétariat de l'Initiative pour la transparence dans les industries extractives,,32000,,active
31005,Réseau parlementaire sur la Banque mondaile,,32000,,active
31006,Coalition pour les innovations en matière de préparation,,31000,,active
32000,Réseaux,,,,active
40000,Organisations multilatérales,,,,active
41000,"Agence, fonds ou commission des Nations Unies (ONU)",,,,active
41101,Convention sur la lutte contre la désertification,,41000,,withdrawn
41102,Organisation de lutte contre le criquet pèlerin dans l'Est Africain,,41000,,active
