code,name,description,category,url,status
AF,,,,,active
AX,,,,,active
AL,,,,,active
DZ,,,,,active
AS,,,,,active
AD,,,,,active
AO,,,,,active
AI,,,,,active
AQ,,,,,active
AG,,,,,active
AR,,,,,active
AM,,,,,active
AW,,,,,active
AU,,,,,active
AT,,,,,active
AZ,,,,,active
BS,,,,,active
BH,,,,,active
BD,,,,,active
BB,,,,,active
BY,,,,,active
BE,,,,,active
BZ,,,,,active
BJ,,,,,active
BM,,,,,active
BT,,,,,active
BO,,,,,active
BQ,,,,,active
BA,,,,,active
BW,,,,,active
BV,,,,,active
BR,,,,,active
IO,,,,,active
BN,,,,,active
BG,,,,,active
BF,,,,,active
BI,,,,,active
KH,,,,,active
CM,,,,,active
CA,,,,,active
CV,,,,,active
KY,,,,,active
CF,,,,,active
TD,,,,,active
CL,,,,,active
CN,,,,,active
CX,,,,,active
CC,,,,,active
CO,,,,,active
KM,,,,,active
CG,,,,,active
CD,,,,,active
CK,,,,,active
CR,,,,,active
CI,,,,,active
HR,,,,,active
CU,,,,,active
CW,,,,,active
CY,,,,,active
CZ,,,,,active
DK,,,,,active
DJ,,,,,active
DM,,,,,active
DO,,,,,active
EC,,,,,active
EG,,,,,active
SV,,,,,active
GQ,,,,,active
ER,,,,,active
EE,,,,,active
ET,,,,,active
FK,,,,,active
FO,,,,,active
FJ,,,,,active
FI,,,,,active
FR,,,,,active
GF,,,,,active
PF,,,,,active
TF,,,,,active
GA,,,,,active
GM,,,,,active
GE,,,,,active
DE,,,,,active
GH,,,,,active
GI,,,,,active
GR,,,,,active
GL,,,,,active
GD,,,,,active
GP,,,,,active
GU,,,,,active
GT,,,,,active
GG,,,,,active
GN,,,,,active
GW,,,,,active
GY,,,,,active
HT,,,,,active
HM,,,,,active
VA,,,,,active
HN,,,,,active
HK,,,,,active
HU,,,,,active
IS,,,,,active
IN,,,,,active
ID,,,,,active
IR,,,,,active
IQ,,,,,active
IE,,,,,active
IM,,,,,active
IL,,,,,active
IT,,,,,active
JM,,,,,active
JP,,,,,active
JE,,,,,active
JO,,,,,active
KZ,,,,,active
KE,,,,,active
KI,,,,,active
KP,,,,,active
KR,,,,,active
XK,,,,,active
KW,,,,,active
KG,,,,,active
LA,,,,,active
LV,,,,,active
LB,,,,,active
LS,,,,,active
LR,,,,,active
LY,,,,,active
LI,,,,,active
LT,,,,,active
LU,,,,,active
MO,,,,,active
MK,,,,,active
MG,,,,,active
MW,,,,,active
MY,,,,,active
MV,,,,,active
ML,,,,,active
MT,,,,,active
MH,,,,,active
MQ,,,,,active
MR,,,,,active
MU,,,,,active
YT,,,,,active
MX,,,,,active
FM,,,,,active
MD,,,,,active
MC,,,,,active
MN,,,,,active
ME,,,,,active
MS,,,,,active
MA,,,,,active
MZ,,,,,active
MM,,,,,active
NA,,,,,active
NR,,,,,active
NP,,,,,active
NL,,,,,active
AN,,,,,withdrawn
NC,,,,,active
NZ,,,,,active
NI,,,,,active
NE,,,,,active
NG,,,,,active
NU,,,,,active
NF,,,,,active
MP,,,,,active
NO,,,,,active
OM,,,,,active
PK,,,,,active
PW,,,,,active
PS,,,,,active
PA,,,,,active
PG,,,,,active
PY,,,,,active
PE,,,,,active
PH,,,,,active
PN,,,,,active
PL,,,,,active
PT,,,,,active
PR,,,,,active
QA,,,,,active
RE,,,,,active
RO,,,,,active
RU,,,,,active
RW,,,,,active
BL,,,,,active
SH,,,,,active
KN,,,,,active
LC,,,,,active
MF,,,,,active
PM,,,,,active
VC,,,,,active
WS,,,,,active
SM,,,,,active
ST,,,,,active
SA,,,,,active
SN,,,,,active
RS,,,,,active
SC,,,,,active
SL,,,,,active
SG,,,,,active
SX,,,,,active
SK,,,,,active
SI,,,,,active
SB,,,,,active
SO,,,,,active
ZA,,,,,active
GS,,,,,active
SS,,,,,active
ES,,,,,active
LK,,,,,active
SD,,,,,active
SR,,,,,active
SJ,,,,,active
SZ,,,,,active
SE,,,,,active
CH,,,,,active
SY,,,,,active
TW,,,,,active
TJ,,,,,active
TZ,,,,,active
TH,,,,,active
TL,,,,,active
TG,,,,,active
TK,,,,,active
TO,,,,,active
TT,,,,,active
TN,,,,,active
TR,,,,,active
TM,,,,,active
TC,,,,,active
TV,,,,,active
UG,,,,,active
UA,,,,,active
AE,,,,,active
GB,,,,,active
US,,,,,active
UM,,,,,active
UY,,,,,active
UZ,,,,,active
VU,,,,,active
VE,,,,,active
VN,,,,,active
VG,,,,,active
VI,,,,,active
WF,,,,,active
EH,,,,,active
YE,,,,,active
ZM,,,,,active
ZW,,,,,active
