code,name,description,category,url,status
AED,,,,,active
AFN,,,,,active
ALL,,,,,active
AMD,,,,,active
ANG,,,,,active
AOA,,,,,active
ARS,,,,,active
AUD,,,,,active
AWG,,,,,active
AZN,,,,,active
BAM,,,,,active
BBD,,,,,active
BDT,,,,,active
BGN,,,,,active
BHD,,,,,active
BIF,,,,,active
BMD,,,,,active
BND,,,,,active
BOB,,,,,active
BOV,,,,,active
BRL,,,,,active
BSD,,,,,active
BTN,,,,,active
BWP,,,,,active
BYR,,,,,withdrawn
BYN,,,,,active
BZD,,,,,active
CAD,,,,,active
CDF,,,,,active
CHF,,,,,active
CLF,,,,,active
CLP,,,,,active
CNY,,,,,active
COP,,,,,active
COU,,,,,active
CRC,,,,,active
CUC,,,,,active
CUP,,,,,active
CVE,,,,,active
CZK,,,,,active
DJF,,,,,active
DKK,,,,,active
DOP,,,,,active
DZD,,,,,active
EEK,,,,,withdrawn
EGP,,,,,active
ERN,,,,,active
ETB,,,,,active
EUR,,,,,active
FJD,,,,,active
FKP,,,,,active
GBP,,,,,active
GEL,,,,,active
GHS,,,,,active
GIP,,,,,active
GMD,,,,,active
GNF,,,,,active
GTQ,,,,,active
GYD,,,,,active
HKD,,,,,active
HNL,,,,,active
HRK,,,,,active
HTG,,,,,active
HUF,,,,,active
IDR,,,,,active
ILS,,,,,active
INR,,,,,active
IQD,,,,,active
IRR,,,,,active
ISK,,,,,active
JMD,,,,,active
JOD,,,,,active
JPY,,,,,active
KES,,,,,active
KGS,,,,,active
KHR,,,,,active
KMF,,,,,active
KPW,,,,,active
KRW,,,,,active
KWD,,,,,active
KYD,,,,,active
KZT,,,,,active
LAK,,,,,active
LBP,,,,,active
LKR,,,,,active
LRD,,,,,active
LSL,,,,,active
LTL,,,,,withdrawn
LVL,,,,,withdrawn
LYD,,,,,active
MAD,,,,,active
MDL,,,,,active
MGA,,,,,active
MKD,,,,,active
MMK,,,,,active
MNT,,,,,active
MOP,,,,,active
MRO,,,,,withdrawn
MRU,,,,,active
MUR,,,,,active
MVR,,,,,active
MWK,,,,,active
MXN,,,,,active
MXV,,,,,active
MYR,,,,,active
MZN,,,,,active
NAD,,,,,active
NGN,,,,,active
NIO,,,,,active
NOK,,,,,active
NPR,,,,,active
NZD,,,,,active
OMR,,,,,active
PAB,,,,,active
PEN,,,,,active
PGK,,,,,active
PHP,,,,,active
PKR,,,,,active
PLN,,,,,active
PYG,,,,,active
QAR,,,,,active
RON,,,,,active
RSD,,,,,active
RUB,,,,,active
RWF,,,,,active
SAR,,,,,active
SBD,,,,,active
SCR,,,,,active
SDG,,,,,active
SEK,,,,,active
SGD,,,,,active
SHP,,,,,active
SLL,,,,,active
SOS,,,,,active
SSP,,,,,active
SRD,,,,,active
STD,,,,,withdrawn
STN,,,,,active
SVC,,,,,active
SYP,,,,,active
SZL,,,,,active
THB,,,,,active
TJS,,,,,active
TMT,,,,,active
TND,,,,,active
TOP,,,,,active
TRY,,,,,active
TTD,,,,,active
TWD,,,,,active
TZS,,,,,active
UAH,,,,,active
UGX,,,,,active
USD,,,,,active
USN,,,,,active
USS,,,,,withdrawn
UYI,,,,,active
UYU,,,,,active
UZS,,,,,active
VEF,,,,,withdrawn
VES,,,,,active
VND,,,,,active
VUV,,,,,active
WST,,,,,active
XAF,,,,,active
XBT,,,,,active
XCD,,,,,active
XDR,,,,,active
XOF,,,,,active
XPF,,,,,active
YER,,,,,active
ZAR,,,,,active
ZMK,,,,,withdrawn
ZMW,,,,,active
ZWL,,,,,active
