code,name,description,category,url,status
A01,Évaluation de l'incidence avant et après le projet,,A,,active
A02,Objectifs/raison d'être de l'activité,,A,,active
A03,Bénéficiaires finaux visés,,A,,active
A04,Conditions,,A,,active
A05,Budget,,A,,active
A06,Renseignements sommaires sur le contrat,,A,,active
A07,Examen du rendement du projet et évaluation,,A,,active
A08,Résultats et extrants,,A,,active
A09,Protocole d'entente (s'il y a entente entre toutes les parties),,A,,active
A10,Appel d’offres,,A,,active
A11,Contrat,,A,,active
A12,Page Web sur l'activité,,A,,active
B01,Rapport annuel,,B,,active
B02,Stratégie organisationnelle,,B,,active
B03,Stratégie-pays,,B,,active
B04,Politique sur la répartition de l'aide,,B,,active
B05,Politique et procédure d'approvisionnement,,B,,active
B06,Rapport de vérification de l'organisation,,B,,active
B07,Rapport de vérification du pays,,B,,active
B08,Politique sur les exclusions,,B,,active
B09,Rapport d'évaluation de l'organisation,,B,,active
B10,Rapport d'évaluation nationale,,B,,active
B11,Stratégie sectorielle,,B,,active
B12,Stratégie thématique,,B,,active
B13,Protocole d'entente national,,B,,active
B14,Politique sur les évaluations,,B,,active
B15,Modalités générales,,B,,active
B16,Page Web sur l'organisation,,B,,active
B17,Page Web sur le pays/la région,,B,,active
B18,Page Web sur le secteur,,B,,active
