code,name,description,category,url,status
aa,,,,,active
ab,,,,,active
ae,,,,,active
af,,,,,active
ak,,,,,active
am,,,,,active
an,,,,,active
ar,,,,,active
as,,,,,active
av,,,,,active
ay,,,,,active
az,,,,,active
ba,,,,,active
be,,,,,active
bg,,,,,active
bh,,,,,active
bi,,,,,active
bm,,,,,active
bn,,,,,active
bo,,,,,active
br,,,,,active
bs,,,,,active
ca,,,,,active
ce,,,,,active
ch,,,,,active
co,,,,,active
cr,,,,,active
cs,,,,,active
cv,,,,,active
cy,,,,,active
da,,,,,active
de,,,,,active
dv,,,,,active
dz,,,,,active
ee,,,,,active
el,,,,,active
en,,,,,active
eo,,,,,active
es,,,,,active
et,,,,,active
eu,,,,,active
fa,,,,,active
ff,,,,,active
fi,,,,,active
fj,,,,,active
fo,,,,,active
fr,,,,,active
fy,,,,,active
ga,,,,,active
gd,,,,,active
gl,,,,,active
gn,,,,,active
gu,,,,,active
gv,,,,,active
ha,,,,,active
he,,,,,active
hi,,,,,active
ho,,,,,active
hr,,,,,active
ht,,,,,active
hu,,,,,active
hy,,,,,active
hz,,,,,active
id,,,,,active
ig,,,,,active
ii,,,,,active
ik,,,,,active
io,,,,,active
is,,,,,active
it,,,,,active
iu,,,,,active
ja,,,,,active
jv,,,,,active
ka,,,,,active
kg,,,,,active
ki,,,,,active
kj,,,,,active
kk,,,,,active
kl,,,,,active
km,,,,,active
kn,,,,,active
ko,,,,,active
kr,,,,,active
ks,,,,,active
ku,,,,,active
kv,,,,,active
kw,,,,,active
ky,,,,,active
la,,,,,active
lb,,,,,active
lg,,,,,active
li,,,,,active
ln,,,,,active
lo,,,,,active
lt,,,,,active
lu,,,,,active
lv,,,,,active
mg,,,,,active
mh,,,,,active
mi,,,,,active
mk,,,,,active
ml,,,,,active
mn,,,,,active
mr,,,,,active
ms,,,,,active
mt,,,,,active
my,,,,,active
na,,,,,active
nb,,,,,active
nd,,,,,active
ne,,,,,active
ng,,,,,active
nl,,,,,active
nn,,,,,active
no,,,,,active
nr,,,,,active
nv,,,,,active
ny,,,,,active
oc,,,,,active
oj,,,,,active
om,,,,,active
or,,,,,active
os,,,,,active
pa,,,,,active
pi,,,,,active
pl,,,,,active
ps,,,,,active
pt,,,,,active
qu,,,,,active
rm,,,,,active
rn,,,,,active
ro,,,,,active
ru,,,,,active
rw,,,,,active
sa,,,,,active
sc,,,,,active
sd,,,,,active
se,,,,,active
sg,,,,,active
si,,,,,active
sk,,,,,active
sl,,,,,active
sm,,,,,active
sn,,,,,active
so,,,,,active
sq,,,,,active
sr,,,,,active
ss,,,,,active
st,,,,,active
su,,,,,active
sv,,,,,active
sw,,,,,active
ta,,,,,active
te,,,,,active
tg,,,,,active
th,,,,,active
ti,,,,,active
tk,,,,,active
tl,,,,,active
tn,,,,,active
to,,,,,active
tr,,,,,active
ts,,,,,active
tt,,,,,active
tw,,,,,active
ty,,,,,active
ug,,,,,active
uk,,,,,active
ur,,,,,active
uz,,,,,active
ve,,,,,active
vi,,,,,active
vo,,,,,active
wa,,,,,active
wo,,,,,active
xh,,,,,active
yi,,,,,active
yo,,,,,active
za,,,,,active
zh,,,,,active
zu,,,,,active
