code,name,description,category,url,status,public-database
AE-ACCI,,,AE,https://www.ajmanchamber.ae/en/Pages/default.aspx,active,False
AE-ADCD,,,AE,http://www.abudhabichamber.ae/English/E-Services/Pages/EServices-Page.aspx?sm=1&ty=s,active,False
AE-AFZ,,,AE,http://www.afz.gov.ae/,active,False
AE-DCCI,,,AE,http://www.dcciinfo.com/,active,False
AE-DFSA,,,AE,https://www.dfsa.ae/Public-Register/Firm,active,False
AE-DIFC,,,AE,https://www.difc.ae/public-register,active,False
AE-DMCC,,,AE,https://www.dmcc.ae/,active,False
AE-FCCI,,,AE,http://www.fujcci.ae/,active,False
AE-FFZ,,,AE,http://www.fujairahfreetradezone.com/appdir/company-listing.php,active,False
AE-HFZA,,,AE,http://www.hfza.ae/en-us/directory.aspx,active,False
AE-RAKIA,,,AE,https://www.rakez.com,active,False
AE-RK_CR,,,AE,http://www.rakchamber.ae/,active,False
AE-SAIF,,,AE,http://www.saif-zone.com/en/InvestorLounge/Pages/Investors.aspx,active,False
AE-SCCI,,,AE,http://www.sharjah.gov.ae/BusinessDirectory,active,False
AE-UQCCI,,,AE,http://www.uaqchamber.ae/,active,False
AF-CBR,,,AF,http://acbr.gov.af/,active,False
AF-MOE,,,AF,http://moec.gov.af/en,active,False
AR-CENOC,,,AR,http://www.cenoc.gob.ar/,active,True
AR-CUIT,,,AR,,active,False
AT-FB,,,AT,https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html,active,True
AT-UID,,,AT,https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html,active,True
AU-ABN,,,AU,http://abr.business.gov.au/,active,False
AU-ACNC,,,AU,http://www.acnc.gov.au/ACNC/,active,False
AZ-IVI,,,AZ,https://www.e-taxes.gov.az/ebyn/commersialChecker.jsp,active,True
BD-NAB,,,BD,http://www.ngoab.gov.bd,active,False
BE-BCE_KBO,,,BE,http://economie.fgov.be/fr/entreprises/BCE,active,False
BE-GTCF,,,BE,http://www.juridat.be/tribunal_commerce/bruxelles/index.htm,withdrawn,False
BG-EIK,,,BG,https://public.brra.bg/CheckUps/Verifications/VerificationPersonOrg.ra,active,True
BJ-IFU,,,BJ,http://www.impots.finances.gouv.bj/tout-savoir-sur-lifu/,active,False
BW-CIPA,,,BW,http://www.cipa.co.bw/,active,True
BY-ADR,,,BY,http://egr.gov.by/egrn/index.jsp?language=en,active,True
CA-CC,,,CA,http://www.ic.gc.ca/eic/site/cd-dgc.nsf/eng/home,active,False
