code,name,description,category,url,status
11110,Politique de l’éducation et gestion administrative,"Politique de l’éducation, planification et programmes ; aide aux ministères de l’éducation, à l’administration et au développement de systèmes de gestion, renforcement des capacités institutionnelles et conseils ; gestion et direction des écoles, développement des programmes d’études et des matériels pédagogiques ; activités d’éducation non spécifiées.",111,,active
11120,Equipements scolaires et formation,"Bâtiments scolaires, équipement, fournitures ; services pour l’éducation (équipement pour les pensionnaires, logement pour le personnel) ; cours de langues ; colloques, séminaires, conférences, etc.",111,,active
11130,Formation des enseignants,Éducation des enseignants (quand le niveau d’éducation n’est pas spécifié) ; formation et formation continue ; développement des matériels pédagogiques.,111,,active
11182,Recherche en éducation,"Recherche et études sur l’efficacité, la pertinence et la qualité de l’éducation ; évaluation et suivi systématiques.",111,,active
11220,Enseignement primaire,Enseignement primaire formel et non formel pour les enfants ; enseignement élémentaire général ; fournitures scolaires.,112,,active
11230,Education pour une meilleure qualité de vie pour les jeunes et les adultes,Éducation formelle et non formelle pour une meilleure qualité de vie pour les jeunes et les adultes (éducation des adultes) ; alphabétisation et apprentissage du calcul. Exclut l'éducation sanitaire (12261) et les activités relatives à la prévention des maladies non-transmissibles (123xx),112,,active
11231,Éducation pour une meilleure qualité de vie pour les jeunes,Éducation formelle et non formelle pour une meilleure qualité de vie pour les jeunes.,112,,active
11232,Education primaire des adultes,Éducation primaire formelle pour adultes.,112,,active
11240,Education de la petite enfance,Éducation préscolaire formelle et non formelle.,112,,active
11250,Alimentation à l’école,"Fourniture de repas ou de collations à l'école; autres utilisations des aliments pour l’obtention des résultats scolaires, y compris les rations «à emporter» fournies comme incitations économiques aux familles (ou aux familles d’accueil ou autres institutions de garde d’enfants) en contrepartie de la fréquentation scolaire régulière d’un enfant; nourriture fournie aux adultes ou aux jeunes qui participent à des programmes d'alphabétisation ou de formation professionnelle; nourriture pour les activités préscolaires avec une composante éducative. Ces activités peuvent aider à réduire la faim des enfants pendant la journée scolaire si la fourniture d’aliments / repas contient des nutriments biodisponibles pour répondre à des besoins nutritionnels spécifiques et donne les résultats attendus en matière de nutrition chez les enfants scolarisés, ou si la logique de la nutrition ou des résultats attendus est liée à la nutrition.",112,,active
11320,Enseignement secondaire,Éducation secondaire généralisée pour les premiers et derniers cycles.,113,,active
11321,Premier cycle de l'enseignement secondaire,Éducation secondaire généralisée pour le premier cycle.,113,,active
11322,Deuxième cycle de l'enseignement secondaire,Éducation secondaire généralisée pour le dernier cycle.,113,,active
11330,Formation professionnelle,Formation professionnelle élémentaire et enseignement technique au niveau secondaire ; formation sur le tas ; apprentissage.,113,,active
11420,Enseignement supérieur,"Diplômes universitaires, de l’enseignement supérieur, de technologie ; bourses d’études.",114,,active
11430,Formation technique supérieure de gestion,Formation professionnelle supérieure et formation sur le tas.,114,,active
12110,Politique de la santé et gestion administrative,"Politique de la santé, planification et programmes ; aide aux ministères de la santé ; administration de la santé publique ; renforcement des capacités institutionnelles et conseils ; programmes d’assurance-maladie ; y compris le renforcement du système de santé et la gouvernance de la santé ; activités de santé non spécifiés.",121,,active
12181,Education et formation médicales,Enseignement médical et formation pour les services au niveau tertiaire.,121,,active
12182,Recherche médicale,Recherche médicale (à l’exclusion de la recherche sur la santé de base et la recherche pour la prévention et le contrôle des MNT (12382)).,121,,active
12191,Services médicaux,"Laboratoires, centres de santé et hôpitaux spécialisés (y compris l’équipement et les fournitures) ; ambulances ; services dentaires ; rééducation médicale. Exclut les maladies non-transmissibles (123XX)",121,,active
12196,Statistiques et données sur la santé,"Collecte, production, gestion et diffusion de statistiques et de données relatives à la santé. Comprend les enquêtes sur la santé, la création de bases de données sur la santé, la collecte de données sur les épidémies, etc.",121,,active
12220,Soins et services de santé de base,Programmes de soins sanitaires primaires et de base ; programmes de soins paramédicaux et infirmiers ; approvisionnement en médicaments et en vaccins relatifs aux soins et services de santé de base ; activités visant à réaliser la couverture sanitaire universelle.,122,,active
12230,Infrastructure pour la santé de base,"Hôpitaux régionaux, centres de santé, dispensaires et équipements médicaux ; à l’exclusion des hôpitaux et centres de santé spécialisés (12191).",122,,active
12240,Nutrition de base,"Identification et supplémentation en carence en micronutriments; Promotion de l'alimentation du nourrisson et du jeune enfant, y compris l'allaitement maternel exclusif; Gestion non urgente de la malnutrition aiguë et d'autres programmes d'alimentation ciblés (y compris l'alimentation complémentaire); Enrichissement des aliments de base, y compris l'iodation du sel; Surveillance de l'état nutritionnel et surveillance nutritionnelle nationale; Recherche, renforcement des capacités, élaboration de politiques, suivi et évaluation à l'appui de ces interventions. Utilisez le code 11250 pour l’alimentation scolaire et le code 43072 pour la sécurité alimentaire des ménages.",122,,active
