code,name,description,category,url,status
1,Objectif 1. Éliminer la pauvreté sous toutes ses formes et partout dans le monde,,,,active
2,"Objectif 2. Éliminer la faim, assurer la sécurité alimentaire, améliorer la nutrition et promouvoir l’agriculture durable",,,,active
3,Objectif 3. Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge,,,,active
4,"Objectif 4. Assurer à tous une éducation équitable, inclusive et de qualité et des possibilités d’apprentissage tout au long de la vie",,,,active
5,Objectif 5. Parvenir à l’égalité des sexes et autonomiser toutes les femmes et les filles,,,,active
6,Objectif 6. Garantir l’accès de tous à des services d’alimentation en eau et d’assainissement gérés de façon durable,,,,active
7,"Objectif 7. Garantir l’accès de tous à des services énergétiques fiables, durables et modernes, à un coût abordable",,,,active
8,"Objectif 7. Garantir l’accès de tous à des services énergétiques fiables, durables et modernes, à un coût abordable",,,,active
9,"Objectif 9. Bâtir une infrastructure résiliente, promouvoir une industrialisation durable qui profite à tous et encourager l’innovation",,,,active
10,Objectif 10. Réduire les inégalités dans les pays et d’un pays à l’autre,,,,active
11,"Objectif 11. Faire en sorte que les villes et les établissements humains soient ouverts à tous, sûrs, résilients et durables",,,,active
12,Objectif 12. Établir des modes de consommation et de production durables,,,,active
13,Objectif 13. Prendre d’urgence des mesures pour lutter contre les changements climatiques et leurs répercussions,,,,active
14,"Objectif 14. Conserver et exploiter de manière durable les océans, les mers et les ressources marines aux fins du développement durable",,,,active
15,"Objectif 15. Préserver et restaurer les écosystèmes terrestres, en veillant à les exploiter de façon durable, gérer durablement les forêts, lutter contre la désertification, enrayer et inverser le processus de dégradation des terres et mettre fin à l’appauvrissement de la biodiversité",,,,active
16,"Objectif 16. Promouvoir l’avènement de sociétés pacifiques et inclusives aux fins du développement durable, assurer l’accès de tous à la justice et mettre en place, à tous les niveaux, des institutions efficaces, responsables et ouvertes à tous",,,,active
17,Objectif 17. Renforcer les moyens de mettre en œuvre le Partenariat mondial pour le développement durable et le revitaliser,,,,active
